,Age
400,37.0
401,37.0
402,37.0
403,37.0
404,27.0
405,27.0
406,27.0
407,27.0
408,24.0
409,25.0
410,25.0
411,25.0
412,19.0
413,19.0
414,19.0
415,19.0
416,19.0
417,19.0
418,19.0
419,19.0
420,32.0
421,32.0
422,32.0
423,32.0
424,21.0
425,21.0
426,21.0
427,21.0
428,55.0
429,55.0
430,55.0
431,55.0
432,19.0
433,19.0
434,19.0
435,19.0
436,20.0
437,20.0
438,20.0
439,20.0
440,34.0
441,34.0
442,35.0
443,35.0
444,25.0
445,25.0
446,25.0
447,25.0
448,54.0
449,54.0
450,54.0
451,54.0
452,32.0
453,32.0
454,32.0
455,32.0
456,39.0
457,39.0
458,39.0
459,39.0
460,29.0
461,29.0
462,29.0
463,29.0
464,43.0
465,43.0
466,43.0
467,43.0
468,33.0
469,33.0
470,33.0
471,33.0
472,34.0
473,34.0
474,34.0
475,34.0
476,54.0
477,55.0
478,55.0
479,55.0
480,42.0
481,42.0
482,42.0
483,42.0
484,37.0
485,37.0
486,37.0
487,37.0
488,17.0
489,17.0
490,17.0
491,17.0
492,48.0
493,48.0
494,48.0
495,48.0
496,27.0
497,27.0
498,27.0
499,27.0
500,40.0
501,40.0
502,40.0
503,40.0
504,15.0
505,15.0
506,15.0
507,15.0
508,30.0
509,30.0
510,30.0
511,30.0
512,42.0
513,42.0
514,42.0
515,42.0
516,48.0
517,48.0
518,48.0
519,48.0
520,20.0
521,20.0
522,20.0
523,21.0
524,38.0
525,38.0
526,38.0
527,38.0
528,19.0
529,19.0
530,19.0
531,19.0
532,40.0
533,40.0
534,40.0
535,40.0
536,46.0
537,46.0
538,46.0
539,46.0
540,27.0
541,27.0
542,27.0
543,27.0
544,44.0
545,44.0
546,44.0
547,44.0
548,49.0
549,49.0
550,49.0
551,49.0
552,39.0
553,39.0
554,39.0
555,39.0
556,26.0
557,26.0
558,26.0
559,27.0
560,26.0
561,26.0
562,27.0
563,27.0
564,46.0
565,46.0
566,46.0
567,46.0
568,47.0
569,47.0
570,47.0
571,47.0
572,32.0
573,32.0
574,32.0
575,32.0
576,20.0
577,20.0
578,20.0
579,20.0
580,43.0
581,43.0
582,44.0
583,44.0
584,23.0
585,23.0
586,23.0
587,23.0
588,20.0
589,20.0
590,20.0
591,20.0
592,28.0
593,28.0
594,28.0
595,28.0
596,37.0
597,37.0
598,37.0
599,37.0
600,21.0
601,21.0
602,21.0
603,21.0
604,31.0
605,31.0
606,31.0
607,32.0
608,32.0
609,32.0
610,32.0
611,32.0
612,51.0
613,51.0
614,51.0
615,52.0
616,50.0
617,50.0
618,50.0
619,50.0
620,34.0
621,34.0
622,34.0
623,34.0
624,49.0
625,49.0
626,49.0
627,49.0
628,26.0
629,26.0
630,26.0
631,26.0
632,33.0
633,33.0
634,33.0
635,33.0
636,44.0
637,44.0
638,44.0
639,44.0
640,16.0
641,16.0
642,16.0
643,16.0
644,34.0
645,34.0
646,34.0
647,34.0
648,22.0
649,22.0
650,22.0
651,22.0
652,24.0
653,24.0
654,24.0
655,24.0
656,34.0
657,34.0
658,34.0
659,34.0
660,46.0
661,46.0
662,46.0
663,46.0
664,17.0
665,17.0
666,17.0
667,17.0
668,37.0
669,37.0
670,37.0
671,37.0
672,43.0
673,43.0
674,43.0
675,43.0
676,36.0
677,36.0
678,36.0
679,36.0
680,39.0
681,39.0
682,39.0
683,39.0
684,30.0
685,30.0
686,30.0
687,30.0
688,22.0
689,22.0
690,22.0
691,22.0
692,22.0
693,22.0
694,22.0
695,22.0
696,50.0
697,50.0
698,50.0
699,50.0
700,25.0
701,25.0
702,25.0
703,25.0
704,29.0
705,29.0
706,29.0
707,29.0
708,19.0
709,19.0
710,19.0
711,19.0
712,40.0
713,40.0
714,40.0
715,40.0
716,20.0
717,20.0
718,20.0
719,20.0
720,32.0
721,32.0
722,32.0
723,32.0
724,49.0
725,49.0
726,49.0
727,49.0
728,20.0
729,20.0
730,20.0
731,20.0
732,40.0
733,40.0
734,40.0
735,40.0
736,34.0
737,34.0
738,34.0
739,35.0
740,46.0
741,46.0
742,46.0
743,46.0
744,15.0
745,15.0
746,15.0
747,15.0
748,43.0
749,43.0
750,43.0
751,43.0
752,22.0
753,22.0
754,22.0
755,22.0
756,30.0
757,30.0
758,30.0
759,30.0
760,15.0
761,15.0
762,15.0
763,16.0
764,19.0
765,19.0
766,19.0
767,19.0
768,31.0
769,31.0
770,31.0
771,31.0
772,19.0
773,19.0
774,19.0
775,19.0
776,48.0
777,48.0
778,48.0
779,48.0
780,32.0
781,32.0
782,32.0
783,32.0
784,37.0
785,37.0
786,37.0
787,37.0
788,52.0
789,52.0
790,52.0
791,52.0
792,26.0
793,26.0
794,26.0
795,26.0
796,34.0
797,34.0
798,34.0
799,34.0
800,52.0
801,52.0
802,52.0
803,52.0
804,31.0
805,31.0
806,31.0
807,31.0
808,24.0
809,24.0
810,24.0
811,24.0
812,31.0
813,31.0
814,31.0
815,31.0
816,38.0
817,38.0
818,38.0
819,38.0
820,46.0
821,46.0
822,46.0
823,46.0
824,45.0
825,45.0
826,45.0
827,45.0
828,36.0
829,36.0
830,36.0
831,36.0
832,28.0
833,28.0
834,28.0
835,28.0
836,44.0
837,44.0
838,44.0
839,44.0
840,26.0
841,26.0
842,26.0
843,26.0
844,40.0
845,40.0
846,40.0
847,40.0
848,32.0
849,32.0
850,32.0
851,32.0
852,23.0
853,23.0
854,23.0
855,23.0
856,29.0
857,29.0
858,29.0
859,29.0
860,54.0
861,54.0
862,54.0
863,54.0
864,30.0
865,30.0
866,30.0
867,30.0
868,19.0
869,19.0
870,19.0
871,19.0
872,40.0
873,40.0
874,40.0
875,40.0
876,15.0
877,15.0
878,15.0
879,15.0
880,26.0
881,26.0
882,26.0
883,26.0
884,43.0
885,44.0
886,44.0
887,44.0
888,33.0
889,33.0
890,33.0
891,33.0
892,14.0
893,15.0
894,15.0
895,15.0
896,44.0
897,44.0
898,44.0
899,44.0
900,38.0
901,38.0
902,38.0
903,38.0
904,41.0
905,41.0
906,41.0
907,41.0
908,52.0
909,52.0
910,52.0
911,52.0
912,22.0
913,22.0
914,22.0
915,22.0
916,49.0
917,49.0
918,49.0
919,49.0
920,38.0
921,38.0
922,38.0
923,38.0
924,25.0
925,25.0
926,25.0
927,25.0
928,48.0
929,48.0
930,48.0
931,48.0
932,52.0
933,52.0
934,53.0
935,53.0
936,41.0
937,41.0
938,41.0
939,41.0
940,39.0
941,39.0
942,39.0
943,39.0
944,37.0
945,37.0
946,37.0
947,37.0
948,44.0
949,44.0
950,44.0
951,45.0
952,50.0
953,50.0
954,50.0
955,50.0
956,31.0
957,31.0
958,31.0
959,31.0
960,40.0
961,40.0
962,40.0
963,40.0
964,40.0
965,40.0
966,40.0
967,41.0
968,36.0
969,36.0
970,36.0
971,36.0
972,40.0
973,40.0
974,40.0
975,40.0
976,21.0
977,21.0
978,21.0
979,21.0
980,18.0
981,18.0
982,18.0
983,18.0
984,32.0
985,32.0
986,32.0
987,32.0
988,35.0
989,35.0
990,35.0
991,35.0
992,32.0
993,32.0
994,32.0
995,32.0
996,36.0
997,36.0
998,36.0
999,36.0
1000,27.0
1001,27.0
1002,27.0
1003,27.0
1004,21.0
1005,21.0
1006,21.0
1007,21.0
1008,39.0
1009,39.0
1010,39.0
1011,39.0
1012,25.0
1013,25.0
1014,25.0
1015,25.0
1016,46.0
1017,46.0
1018,46.0
1019,46.0
1020,22.0
1021,22.0
1022,22.0
1023,22.0
1024,16.0
1025,16.0
1026,16.0
1027,16.0
1028,15.0
1029,15.0
1030,15.0
1031,15.0
1032,49.0
1033,49.0
1034,49.0
1035,49.0
1036,33.0
1037,33.0
1038,34.0
1039,34.0
1040,55.0
1041,56.0
1042,56.0
1043,56.0
1044,32.0
1045,32.0
1046,32.0
1047,32.0
1048,17.0
1049,17.0
1050,17.0
1051,17.0
1052,47.0
1053,47.0
1054,47.0
1055,47.0
1056,14.0
1057,14.0
1058,15.0
1059,15.0
1060,40.0
1061,40.0
1062,40.0
1063,40.0
1064,39.0
1065,39.0
1066,39.0
1067,39.0
1068,35.0
1069,35.0
1070,35.0
1071,35.0
1072,17.0
1073,17.0
1074,17.0
1075,17.0
1076,25.0
1077,25.0
1078,25.0
1079,25.0
1080,27.0
1081,27.0
1082,27.0
1083,27.0
1084,36.0
1085,36.0
1086,36.0
1087,36.0
1088,30.0
1089,30.0
1090,30.0
1091,30.0
1092,40.0
1093,40.0
1094,40.0
1095,40.0
1096,15.0
1097,15.0
1098,15.0
1099,15.0
1100,43.0
1101,43.0
1102,43.0
1103,43.0
1104,36.0
1105,36.0
1106,36.0
1107,36.0
1108,52.0
1109,52.0
1110,52.0
1111,52.0
1112,45.0
1113,45.0
1114,45.0
1115,46.0
1116,30.0
1117,30.0
1118,30.0
1119,30.0
1120,33.0
1121,33.0
1122,33.0
1123,33.0
1124,31.0
1125,31.0
1126,31.0
1127,31.0
1128,37.0
1129,37.0
1130,37.0
1131,37.0
1132,38.0
1133,39.0
1134,39.0
1135,39.0
1136,22.0
1137,22.0
1138,22.0
1139,22.0
1140,47.0
1141,47.0
1142,47.0
1143,47.0
1144,23.0
1145,23.0
1146,23.0
1147,23.0
1148,43.0
1149,43.0
1150,43.0
1151,43.0
1152,27.0
1153,27.0
1154,27.0
1155,27.0
1156,44.0
1157,44.0
1158,44.0
1159,44.0
1160,19.0
1161,19.0
1162,19.0
1163,19.0
1164,34.0
1165,34.0
1166,34.0
1167,34.0
1168,28.0
1169,28.0
1170,28.0
1171,28.0
1172,19.0
1173,19.0
1174,19.0
1175,19.0
1176,22.0
1177,22.0
1178,22.0
1179,22.0
1180,26.0
1181,26.0
1182,26.0
1183,26.0
1184,14.0
1185,14.0
1186,14.0
1187,14.0
1188,23.0
1189,23.0
1190,23.0
1191,23.0
1192,26.0
1193,26.0
1194,26.0
1195,26.0
1196,43.0
1197,43.0
1198,43.0
1199,43.0
1200,47.0
1201,47.0
1202,47.0
1203,47.0
1204,50.0
1205,50.0
1206,50.0
1207,50.0
1208,36.0
1209,36.0
1210,36.0
1211,36.0
1212,31.0
1213,31.0
1214,31.0
1215,31.0
1216,30.0
1217,30.0
1218,30.0
1219,30.0
1220,21.0
1221,21.0
1222,21.0
1223,21.0
1224,35.0
1225,35.0
1226,35.0
1227,35.0
1228,42.0
1229,42.0
1230,42.0
1231,42.0
1232,34.0
1233,34.0
1234,34.0
1235,34.0
1236,32.0
1237,32.0
1238,32.0
1239,32.0
1240,54.0
1241,54.0
1242,54.0
1243,54.0
1244,20.0
1245,20.0
1246,20.0
1247,20.0
1248,27.0
1249,27.0
1250,27.0
1251,27.0
1252,17.0
1253,17.0
1254,17.0
1255,17.0
1256,34.0
1257,34.0
1258,34.0
1259,34.0
1260,28.0
1261,28.0
1262,28.0
1263,28.0
1264,47.0
1265,47.0
1266,47.0
1267,47.0
1268,50.0
1269,50.0
1270,50.0
1271,50.0
1272,28.0
1273,28.0
1274,28.0
1275,28.0
1276,20.0
1277,20.0
1278,20.0
1279,20.0
1280,31.0
1281,31.0
1282,31.0
1283,31.0
1284,39.0
1285,39.0
1286,39.0
1287,39.0
1288,46.0
1289,46.0
1290,47.0
1291,47.0
1292,33.0
1293,33.0
1294,33.0
1295,34.0
1296,44.0
1297,44.0
1298,44.0
1299,44.0
1300,34.0
1301,34.0
1302,34.0
1303,34.0
1304,44.0
1305,44.0
1306,44.0
1307,44.0
1308,32.0
1309,32.0
1310,32.0
1311,32.0
1312,31.0
1313,31.0
1314,31.0
1315,31.0
1316,54.0
1317,54.0
1318,54.0
1319,54.0
1320,19.0
1321,19.0
1322,20.0
1323,20.0
1324,43.0
1325,43.0
1326,43.0
1327,43.0
1328,21.0
1329,21.0
1330,21.0
1331,21.0
1332,43.0
1333,43.0
1334,43.0
1335,43.0
1336,14.0
1337,14.0
1338,14.0
1339,14.0
1340,50.0
1341,50.0
1342,50.0
1343,50.0
1344,23.0
1345,23.0
1346,23.0
1347,23.0
1348,42.0
1349,42.0
1350,42.0
1351,42.0
1352,40.0
1353,40.0
1354,40.0
1355,40.0
1356,23.0
1357,23.0
1358,23.0
1359,23.0
1360,26.0
1361,26.0
1362,26.0
1363,26.0
1364,40.0
1365,40.0
1366,40.0
1367,40.0
1368,36.0
1369,36.0
1370,36.0
1371,36.0
1372,19.0
1373,19.0
1374,19.0
1375,19.0
1376,38.0
1377,39.0
1378,39.0
1379,39.0
1380,43.0
1381,43.0
1382,43.0
1383,43.0
1384,40.0
1385,40.0
1386,40.0
1387,40.0
1388,24.0
1389,24.0
1390,24.0
1391,24.0
1392,42.0
1393,42.0
1394,42.0
1395,42.0
1396,54.0
1397,54.0
1398,54.0
1399,54.0
1400,38.0
1401,38.0
1402,38.0
1403,38.0
1404,41.0
1405,41.0
1406,41.0
1407,41.0
1408,46.0
1409,46.0
1410,46.0
1411,46.0
1412,21.0
1413,21.0
1414,21.0
1415,21.0
1416,54.0
1417,54.0
1418,54.0
1419,54.0
1420,30.0
1421,30.0
1422,30.0
1423,30.0
1424,37.0
1425,37.0
1426,37.0
1427,37.0
1428,23.0
1429,23.0
1430,23.0
1431,23.0
1432,18.0
1433,19.0
1434,19.0
1435,19.0
1436,15.0
1437,16.0
1438,16.0
1439,16.0
1440,37.0
1441,37.0
1442,37.0
1443,37.0
1444,54.0
1445,55.0
1446,55.0
1447,55.0
1448,31.0
1449,31.0
1450,31.0
1451,31.0
1452,45.0
1453,45.0
1454,45.0
1455,45.0
1456,32.0
1457,32.0
1458,32.0
1459,33.0
1460,16.0
1461,16.0
1462,16.0
1463,16.0
1464,36.0
1465,36.0
1466,36.0
1467,36.0
1468,25.0
1469,25.0
1470,25.0
1471,25.0
1472,45.0
1473,45.0
1474,45.0
1475,45.0
1476,43.0
1477,43.0
1478,43.0
1479,43.0
1480,19.0
1481,19.0
1482,19.0
1483,19.0
1484,32.0
1485,32.0
1486,32.0
1487,32.0
1488,42.0
1489,42.0
1490,42.0
1491,42.0
1492,20.0
1493,20.0
1494,20.0
1495,20.0
1496,42.0
1497,42.0
1498,42.0
1499,42.0
1500,39.0
1501,39.0
1502,40.0
1503,40.0
1504,45.0
1505,45.0
1506,45.0
1507,45.0
1508,19.0
1509,19.0
1510,19.0
1511,19.0
1512,22.0
1513,22.0
1514,22.0
1515,22.0
1516,44.0
1517,44.0
1518,44.0
1519,44.0
1520,20.0
1521,20.0
1522,20.0
1523,20.0
1524,33.0
1525,33.0
1526,33.0
1527,33.0
1528,37.0
1529,37.0
1530,37.0
1531,37.0
1532,32.0
1533,32.0
1534,32.0
1535,32.0
1536,32.0
1537,32.0
1538,32.0
1539,32.0
1540,21.0
1541,21.0
1542,21.0
1543,21.0
1544,30.0
1545,30.0
1546,30.0
1547,30.0
1548,20.0
1549,20.0
1550,20.0
1551,20.0
1552,19.0
1553,19.0
1554,19.0
1555,19.0
1556,41.0
1557,41.0
1558,42.0
1559,42.0
1560,51.0
1561,51.0
1562,51.0
1563,51.0
1564,15.0
1565,15.0
1566,15.0
1567,15.0
1568,28.0
1569,28.0
1570,28.0
1571,28.0
1572,20.0
1573,21.0
1574,21.0
1575,21.0
1576,37.0
1577,37.0
1578,37.0
1579,37.0
1580,33.0
1581,33.0
1582,33.0
1583,33.0
1584,31.0
1585,31.0
1586,31.0
1587,31.0
1588,32.0
1589,32.0
1590,32.0
1591,32.0
1592,40.0
1593,40.0
1594,40.0
1595,40.0
1596,41.0
1597,42.0
1598,42.0
1599,42.0
1600,43.0
1601,43.0
1602,44.0
1603,44.0
1604,36.0
1605,36.0
1606,36.0
1607,36.0
1608,19.0
1609,19.0
1610,19.0
1611,19.0
1612,23.0
1613,23.0
1614,23.0
1615,23.0
1616,29.0
1617,29.0
1618,29.0
1619,29.0
1620,44.0
1621,44.0
1622,44.0
1623,44.0
1624,23.0
1625,23.0
1626,23.0
1627,23.0
1628,27.0
1629,27.0
1630,27.0
1631,27.0
1632,31.0
1633,31.0
1634,31.0
1635,31.0
1636,45.0
1637,45.0
1638,45.0
1639,45.0
1640,35.0
1641,35.0
1642,35.0
1643,35.0
1644,54.0
1645,54.0
1646,54.0
1647,54.0
1648,31.0
1649,32.0
1650,32.0
1651,32.0
1652,25.0
1653,25.0
1654,25.0
1655,25.0
1656,26.0
1657,26.0
1658,26.0
1659,26.0
1660,18.0
1661,18.0
1662,18.0
1663,18.0
1664,24.0
1665,24.0
1666,24.0
1667,24.0
1668,33.0
1669,33.0
1670,33.0
1671,33.0
1672,53.0
1673,53.0
1674,53.0
1675,53.0
1676,16.0
1677,16.0
1678,16.0
1679,16.0
1680,39.0
1681,39.0
1682,39.0
1683,39.0
1684,23.0
1685,23.0
1686,23.0
1687,23.0
1688,40.0
1689,40.0
1690,40.0
1691,40.0
1692,18.0
1693,18.0
1694,18.0
1695,18.0
1696,30.0
1697,30.0
1698,30.0
1699,30.0
1700,27.0
1701,27.0
1702,27.0
1703,28.0
1704,42.0
1705,42.0
1706,42.0
1707,42.0
1708,28.0
1709,28.0
1710,28.0
1711,28.0
1712,20.0
1713,20.0
1714,20.0
1715,20.0
1716,44.0
1717,44.0
1718,45.0
1719,45.0
1720,19.0
1721,19.0
1722,19.0
1723,19.0
1724,20.0
1725,20.0
1726,20.0
1727,20.0
1728,42.0
1729,42.0
1730,42.0
1731,42.0
1732,36.0
1733,36.0
1734,36.0
1735,36.0
1736,29.0
1737,29.0
1738,30.0
1739,30.0
1740,50.0
1741,50.0
1742,50.0
1743,50.0
1744,43.0
1745,43.0
1746,43.0
1747,43.0
1748,23.0
1749,23.0
1750,23.0
1751,23.0
1752,25.0
1753,25.0
1754,25.0
1755,25.0
1756,20.0
1757,20.0
1758,20.0
1759,21.0
1760,18.0
1761,18.0
1762,18.0
1763,18.0
1764,38.0
1765,38.0
1766,38.0
1767,38.0
1768,31.0
1769,31.0
1770,31.0
1771,31.0
1772,56.0
1773,56.0
1774,56.0
1775,56.0
1776,34.0
1777,34.0
1778,34.0
1779,34.0
1780,30.0
1781,30.0
1782,30.0
1783,30.0
1784,28.0
1785,28.0
1786,28.0
1787,28.0
1788,26.0
1789,26.0
1790,26.0
1791,26.0
1792,32.0
1793,32.0
1794,32.0
1795,32.0
1796,37.0
1797,37.0
1798,37.0
1799,37.0
1800,17.0
1801,17.0
1802,17.0
1803,17.0
1804,33.0
1805,33.0
1806,33.0
1807,33.0
1808,32.0
1809,32.0
1810,32.0
1811,32.0
1812,41.0
1813,41.0
1814,41.0
1815,41.0
1816,22.0
1817,22.0
1818,23.0
1819,23.0
1820,30.0
1821,30.0
1822,30.0
1823,30.0
1824,24.0
1825,24.0
1826,24.0
1827,24.0
1828,23.0
1829,23.0
1830,23.0
1831,23.0
1832,24.0
1833,24.0
1834,24.0
1835,24.0
1836,34.0
1837,34.0
1838,34.0
1839,34.0
1840,44.0
1841,44.0
1842,44.0
1843,44.0
1844,21.0
1845,21.0
1846,21.0
1847,21.0
1848,52.0
1849,52.0
1850,52.0
1851,52.0
1852,24.0
1853,24.0
1854,24.0
1855,24.0
1856,45.0
1857,45.0
1858,45.0
1859,45.0
1860,38.0
1861,38.0
1862,38.0
1863,38.0
1864,44.0
1865,44.0
1866,44.0
1867,44.0
1868,46.0
1869,46.0
1870,46.0
1871,46.0
1872,37.0
1873,37.0
1874,37.0
1875,37.0
1876,29.0
1877,29.0
1878,29.0
1879,29.0
1880,45.0
1881,45.0
1882,46.0
1883,46.0
1884,17.0
1885,17.0
1886,17.0
1887,17.0
1888,37.0
1889,37.0
1890,37.0
1891,37.0
1892,37.0
1893,37.0
1894,37.0
1895,38.0
1896,19.0
1897,19.0
1898,19.0
1899,19.0
1900,30.0
1901,30.0
1902,30.0
1903,30.0
1904,30.0
1905,30.0
1906,30.0
1907,30.0
1908,16.0
1909,16.0
1910,16.0
1911,16.0
1912,44.0
1913,44.0
1914,44.0
1915,44.0
1916,46.0
1917,46.0
1918,46.0
1919,46.0
1920,51.0
1921,51.0
1922,51.0
1923,51.0
1924,38.0
1925,38.0
1926,38.0
1927,38.0
1928,39.0
1929,40.0
1930,40.0
1931,40.0
1932,31.0
1933,31.0
1934,31.0
1935,31.0
1936,25.0
1937,25.0
1938,25.0
1939,25.0
1940,37.0
1941,37.0
1942,37.0
1943,37.0
1944,29.0
1945,29.0
1946,29.0
1947,29.0
1948,25.0
1949,25.0
1950,25.0
1951,25.0
1952,45.0
1953,45.0
1954,45.0
1955,45.0
1956,36.0
1957,37.0
1958,37.0
1959,37.0
1960,28.0
1961,28.0
1962,28.0
1963,28.0
1964,45.0
1965,45.0
1966,45.0
1967,45.0
1968,48.0
1969,48.0
1970,48.0
1971,48.0
1972,39.0
1973,39.0
1974,39.0
1975,39.0
1976,45.0
1977,45.0
1978,45.0
1979,45.0
1980,36.0
1981,36.0
1982,36.0
1983,36.0
1984,16.0
1985,16.0
1986,16.0
1987,16.0
1988,33.0
1989,33.0
1990,33.0
1991,33.0
1992,26.0
1993,26.0
1994,26.0
1995,26.0
1996,41.0
1997,41.0
1998,41.0
1999,41.0
2000,33.0
2001,33.0
2002,33.0
2003,33.0
2004,19.0
2005,19.0
2006,19.0
2007,19.0
2008,20.0
2009,20.0
2010,20.0
2011,20.0
2012,29.0
2013,29.0
2014,29.0
2015,29.0
2016,27.0
2017,27.0
2018,27.0
2019,27.0
2020,48.0
2021,48.0
2022,48.0
2023,48.0
2024,28.0
2025,28.0
2026,28.0
2027,28.0
2028,41.0
2029,41.0
2030,41.0
2031,41.0
2032,43.0
2033,43.0
2034,43.0
2035,43.0
2036,24.0
2037,24.0
2038,24.0
2039,24.0
2040,35.0
2041,35.0
2042,35.0
2043,35.0
2044,16.0
2045,16.0
2046,16.0
2047,16.0
2048,52.0
2049,52.0
2050,52.0
2051,52.0
2052,28.0
2053,28.0
2054,28.0
2055,28.0
2056,44.0
2057,44.0
2058,44.0
2059,44.0
2060,22.0
2061,22.0
2062,22.0
2063,22.0
2064,41.0
2065,41.0
2066,41.0
2067,41.0
2068,20.0
2069,20.0
2070,20.0
2071,20.0
2072,22.0
2073,22.0
2074,22.0
2075,22.0
2076,43.0
2077,43.0
2078,43.0
2079,43.0
2080,31.0
2081,31.0
2082,31.0
2083,31.0
2084,25.0
2085,25.0
2086,25.0
2087,25.0
2088,35.0
2089,35.0
2090,35.0
2091,35.0
2092,36.0
2093,36.0
2094,36.0
2095,36.0
2096,15.0
2097,15.0
2098,15.0
2099,15.0
2100,34.0
2101,34.0
2102,34.0
2103,34.0
2104,31.0
2105,31.0
2106,31.0
2107,31.0
2108,27.0
2109,27.0
2110,27.0
2111,27.0
2112,50.0
2113,50.0
2114,50.0
2115,50.0
2116,27.0
2117,27.0
2118,27.0
2119,27.0
2120,32.0
2121,32.0
2122,32.0
2123,32.0
2124,15.0
2125,15.0
2126,15.0
2127,16.0
2128,18.0
2129,18.0
2130,19.0
2131,19.0
2132,17.0
2133,17.0
2134,17.0
2135,17.0
2136,44.0
2137,44.0
2138,44.0
2139,44.0
2140,43.0
