,Credit_Mix
638,Standard
639,Standard
640,Bad
641,Bad
642,Bad
643,Bad
644,Bad
645,Bad
646,Bad
647,Bad
648,Bad
649,Bad
650,Bad
651,Bad
652,Good
653,Good
654,Good
655,Good
656,Standard
657,Standard
658,Standard
659,Standard
660,Good
661,Good
662,Good
663,Good
664,Bad
665,Bad
666,Bad
667,Bad
668,Good
669,Good
670,Good
671,Good
672,Standard
673,Standard
674,Standard
675,Standard
676,Standard
677,Standard
678,Standard
679,Standard
680,Standard
681,Standard
682,Standard
683,Standard
684,Bad
685,Bad
686,Bad
687,Bad
688,Standard
689,Standard
690,Standard
691,Standard
692,Good
693,Good
694,Good
695,Good
696,Good
697,Good
698,Good
699,Good
700,Bad
701,Bad
702,Bad
703,Bad
704,Standard
705,Standard
706,Standard
707,Standard
708,Standard
709,Standard
710,Standard
711,Standard
712,Standard
713,Standard
714,Standard
715,Standard
716,Good
717,Good
718,Good
719,Good
720,Good
721,Good
722,Good
723,Good
724,Good
725,Good
726,Good
727,Good
728,Good
729,Good
730,Good
731,Good
732,Standard
733,Standard
734,Standard
735,Standard
736,Bad
737,Bad
738,Bad
739,Bad
740,Standard
741,Standard
742,Standard
743,Standard
744,Standard
745,Standard
746,Standard
747,Standard
748,Good
749,Good
750,Good
751,Good
752,Bad
753,Bad
754,Bad
755,Bad
756,Bad
757,Bad
758,Bad
759,Bad
760,Bad
761,Bad
762,Bad
763,Bad
764,Good
765,Good
766,Good
767,Good
768,Standard
769,Standard
770,Standard
771,Standard
772,Good
773,Good
774,Good
775,Good
776,Good
777,Good
778,Good
779,Good
780,Good
781,Good
782,Good
783,Good
784,Standard
785,Standard
786,Standard
787,Standard
788,Standard
789,Standard
790,Standard
791,Standard
792,Good
793,Good
794,Good
795,Good
796,Good
797,Good
798,Good
799,Good
800,Good
801,Good
802,Good
803,Good
804,Standard
805,Standard
806,Standard
807,Standard
808,Bad
809,Bad
810,Bad
811,Bad
812,Standard
813,Standard
814,Standard
815,Standard
816,Standard
817,Standard
818,Standard
819,Standard
820,Good
821,Good
822,Good
823,Good
824,Good
825,Good
826,Good
827,Good
828,Good
829,Good
830,Good
831,Good
832,Standard
833,Standard
834,Standard
835,Standard
836,Standard
837,Standard
838,Standard
839,Standard
840,Standard
841,Standard
842,Standard
843,Standard
844,Good
845,Good
846,Good
847,Good
848,Bad
849,Bad
850,Bad
851,Bad
852,Standard
853,Standard
854,Standard
855,Standard
856,Bad
857,Bad
858,Bad
859,Bad
860,Good
861,Good
862,Good
863,Good
864,Good
865,Good
866,Good
867,Good
868,Bad
869,Bad
870,Bad
871,Bad
872,Standard
873,Standard
874,Standard
875,Standard
876,Bad
877,Bad
878,Bad
879,Bad
880,Bad
881,Bad
882,Bad
883,Bad
884,Standard
885,Standard
886,Standard
887,Standard
888,Standard
889,Standard
890,Standard
891,Standard
892,Bad
893,Bad
894,Bad
895,Bad
896,Bad
897,Bad
898,Bad
899,Bad
900,Standard
901,Standard
902,Standard
903,Standard
904,Good
905,Good
906,Good
907,Good
908,Good
909,Good
910,Good
911,Good
912,Good
913,Good
914,Good
915,Good
916,Standard
917,Standard
918,Standard
919,Standard
920,Standard
921,Standard
922,Standard
923,Standard
924,Standard
925,Standard
926,Standard
927,Standard
928,Good
929,Good
930,Good
931,Good
932,Standard
933,Standard
934,Standard
935,Standard
936,Bad
937,Bad
938,Bad
939,Bad
940,Standard
941,Standard
942,Standard
943,Standard
944,Standard
945,Standard
946,Standard
947,Standard
948,Standard
949,Standard
950,Standard
951,Standard
952,Standard
953,Standard
954,Standard
955,Standard
956,Good
957,Good
958,Good
959,Good
960,Bad
961,Bad
962,Bad
963,Bad
964,Bad
965,Bad
966,Bad
967,Bad
968,Standard
969,Standard
970,Standard
971,Standard
972,Standard
973,Standard
974,Standard
975,Standard
976,Standard
977,Standard
978,Standard
979,Standard
980,Good
981,Good
982,Good
983,Good
984,Good
985,Good
986,Good
987,Good
988,Standard
989,Standard
990,Standard
991,Standard
992,Standard
993,Standard
994,Standard
995,Standard
996,Standard
997,Standard
998,Standard
999,Standard
1000,Standard
1001,Standard
1002,Standard
1003,Standard
1004,Good
1005,Good
1006,Good
1007,Good
1008,Good
1009,Good
1010,Good
1011,Good
1012,Bad
1013,Bad
1014,Bad
1015,Bad
1016,Good
1017,Good
1018,Good
1019,Good
1020,Good
1021,Good
1022,Good
1023,Good
1024,Standard
1025,Standard
1026,Standard
1027,Standard
1028,Standard
1029,Standard
1030,Standard
1031,Standard
1032,Standard
1033,Standard
1034,Standard
1035,Standard
1036,Good
1037,Good
1038,Good
1039,Good
1040,Good
1041,Good
1042,Good
1043,Good
1044,Bad
1045,Bad
1046,Bad
1047,Bad
1048,Standard
1049,Standard
1050,Standard
1051,Standard
1052,Good
1053,Good
1054,Good
1055,Good
1056,Standard
1057,Standard
1058,Standard
1059,Standard
1060,Good
1061,Good
1062,Good
1063,Good
1064,Standard
1065,Standard
1066,Standard
1067,Standard
1068,Bad
1069,Bad
1070,Bad
1071,Bad
1072,Bad
1073,Bad
1074,Bad
1075,Bad
1076,Standard
1077,Standard
1078,Standard
1079,Standard
1080,Good
1081,Good
1082,Good
1083,Good
1084,Bad
1085,Bad
1086,Bad
1087,Bad
1088,Standard
1089,Standard
1090,Standard
1091,Standard
1092,Good
1093,Good
1094,Good
1095,Good
1096,Standard
1097,Standard
1098,Standard
1099,Standard
1100,Good
1101,Good
1102,Good
1103,Good
1104,Standard
1105,Standard
1106,Standard
1107,Standard
1108,Good
1109,Good
1110,Good
1111,Good
1112,Good
1113,Good
1114,Good
1115,Good
1116,Bad
1117,Bad
1118,Bad
1119,Bad
1120,Standard
1121,Standard
1122,Standard
1123,Standard
1124,Bad
1125,Bad
1126,Bad
1127,Bad
1128,Bad
1129,Bad
1130,Bad
1131,Bad
1132,Standard
1133,Standard
1134,Standard
1135,Standard
1136,Good
1137,Good
1138,Good
1139,Good
1140,Good
1141,Good
1142,Good
1143,Good
1144,Good
1145,Good
1146,Good
1147,Good
1148,Good
1149,Good
1150,Good
1151,Good
1152,Bad
1153,Bad
1154,Bad
1155,Bad
1156,Bad
1157,Bad
1158,Bad
1159,Bad
1160,Standard
1161,Standard
1162,Standard
1163,Standard
1164,Bad
1165,Bad
1166,Bad
1167,Bad
1168,Standard
1169,Standard
1170,Standard
1171,Standard
1172,Standard
1173,Standard
1174,Standard
1175,Standard
1176,Good
1177,Good
1178,Good
1179,Good
1180,Standard
1181,Standard
1182,Standard
1183,Standard
1184,Standard
1185,Standard
1186,Standard
1187,Standard
1188,Good
1189,Good
1190,Good
1191,Good
1192,Standard
1193,Standard
1194,Standard
1195,Standard
1196,Standard
1197,Standard
1198,Standard
1199,Standard
1200,Good
1201,Good
1202,Good
1203,Good
1204,Standard
1205,Standard
1206,Standard
1207,Standard
1208,Bad
1209,Bad
1210,Bad
1211,Bad
1212,Standard
1213,Standard
1214,Standard
1215,Standard
1216,Good
1217,Good
1218,Good
1219,Good
1220,Bad
1221,Bad
1222,Bad
1223,Bad
1224,Bad
1225,Bad
1226,Bad
1227,Bad
1228,Bad
1229,Bad
1230,Bad
1231,Bad
1232,Standard
1233,Standard
1234,Standard
1235,Standard
1236,Bad
1237,Bad
1238,Bad
1239,Bad
1240,Standard
1241,Standard
1242,Standard
1243,Standard
1244,Bad
1245,Bad
1246,Bad
1247,Bad
1248,Standard
1249,Standard
1250,Standard
1251,Standard
1252,Standard
1253,Standard
1254,Standard
1255,Standard
1256,Standard
1257,Standard
1258,Standard
1259,Standard
1260,Bad
1261,Bad
1262,Bad
1263,Bad
1264,Good
1265,Good
1266,Good
1267,Good
1268,Good
1269,Good
1270,Good
1271,Good
1272,Good
1273,Good
1274,Good
1275,Good
1276,Good
1277,Good
1278,Good
1279,Good
1280,Good
1281,Good
1282,Good
1283,Good
1284,Good
1285,Good
1286,Good
1287,Good
1288,Standard
1289,Standard
1290,Standard
1291,Standard
1292,Bad
1293,Bad
1294,Bad
1295,Bad
1296,Standard
1297,Standard
1298,Standard
1299,Standard
1300,Standard
1301,Standard
1302,Standard
1303,Standard
1304,Bad
1305,Bad
1306,Bad
1307,Bad
1308,Standard
1309,Standard
1310,Standard
1311,Standard
1312,Bad
1313,Bad
1314,Bad
1315,Bad
1316,Good
1317,Good
1318,Good
1319,Good
1320,Bad
1321,Bad
1322,Bad
1323,Bad
1324,Standard
1325,Standard
1326,Standard
1327,Standard
1328,Standard
1329,Standard
1330,Standard
1331,Standard
1332,Good
1333,Good
1334,Good
1335,Good
1336,Bad
1337,Bad
1338,Bad
1339,Bad
1340,Good
1341,Good
1342,Good
1343,Good
1344,Standard
1345,Standard
1346,Standard
1347,Standard
1348,Standard
1349,Standard
1350,Standard
1351,Standard
1352,Good
1353,Good
1354,Good
1355,Good
1356,Standard
1357,Standard
1358,Standard
1359,Standard
1360,Good
1361,Good
1362,Good
1363,Good
1364,Standard
1365,Standard
1366,Standard
1367,Standard
1368,Bad
1369,Bad
1370,Bad
1371,Bad
1372,Standard
1373,Standard
1374,Standard
1375,Standard
1376,Bad
1377,Bad
1378,Bad
1379,Bad
1380,Bad
1381,Bad
1382,Bad
1383,Bad
1384,Good
1385,Good
1386,Good
1387,Good
1388,Standard
1389,Standard
1390,Standard
1391,Standard
1392,Standard
1393,Standard
1394,Standard
1395,Standard
1396,Standard
1397,Standard
1398,Standard
1399,Standard
1400,Bad
1401,Bad
1402,Bad
1403,Bad
1404,Standard
1405,Standard
1406,Standard
1407,Standard
1408,Good
1409,Good
1410,Good
1411,Good
1412,Good
1413,Good
1414,Good
1415,Good
1416,Standard
1417,Standard
1418,Standard
1419,Standard
1420,Standard
1421,Standard
1422,Standard
1423,Standard
1424,Standard
1425,Standard
1426,Standard
1427,Standard
1428,Standard
1429,Standard
1430,Standard
1431,Standard
1432,Bad
1433,Bad
1434,Bad
1435,Bad
1436,Bad
1437,Bad
1438,Bad
1439,Bad
1440,Bad
1441,Bad
1442,Bad
1443,Bad
1444,Good
1445,Good
1446,Good
1447,Good
1448,Bad
1449,Bad
1450,Bad
1451,Bad
1452,Standard
1453,Standard
1454,Standard
1455,Standard
1456,Standard
1457,Standard
1458,Standard
1459,Standard
1460,Bad
1461,Bad
1462,Bad
1463,Bad
1464,Good
1465,Good
1466,Good
1467,Good
1468,Standard
1469,Standard
1470,Standard
1471,Standard
1472,Standard
1473,Standard
1474,Standard
1475,Standard
1476,Standard
1477,Standard
1478,Standard
1479,Standard
1480,Standard
1481,Standard
1482,Standard
1483,Standard
1484,Standard
1485,Standard
1486,Standard
1487,Standard
1488,Bad
1489,Bad
1490,Bad
1491,Bad
1492,Good
1493,Good
1494,Good
1495,Good
1496,Standard
1497,Standard
1498,Standard
1499,Standard
1500,Good
1501,Good
1502,Good
1503,Good
1504,Good
1505,Good
1506,Good
1507,Good
1508,Standard
1509,Standard
1510,Standard
1511,Standard
1512,Standard
1513,Standard
1514,Standard
1515,Standard
1516,Standard
1517,Standard
1518,Standard
1519,Standard
1520,Bad
1521,Bad
1522,Bad
1523,Bad
1524,Standard
1525,Standard
1526,Standard
1527,Standard
1528,Bad
1529,Bad
1530,Bad
1531,Bad
1532,Good
1533,Good
1534,Good
1535,Good
1536,Bad
1537,Bad
1538,Bad
1539,Bad
1540,Good
1541,Good
1542,Good
1543,Good
1544,Good
1545,Good
1546,Good
1547,Good
1548,Standard
1549,Standard
1550,Standard
1551,Standard
1552,Bad
1553,Bad
1554,Bad
1555,Bad
1556,Good
1557,Good
1558,Good
1559,Good
1560,Standard
1561,Standard
1562,Standard
1563,Standard
1564,Standard
1565,Standard
1566,Standard
1567,Standard
1568,Standard
1569,Standard
1570,Standard
1571,Standard
1572,Bad
1573,Bad
1574,Bad
1575,Bad
1576,Standard
1577,Standard
1578,Standard
1579,Standard
1580,Standard
1581,Standard
1582,Standard
1583,Standard
1584,Bad
1585,Bad
1586,Bad
1587,Bad
1588,Bad
1589,Bad
1590,Bad
1591,Bad
1592,Good
1593,Good
1594,Good
1595,Good
1596,Standard
1597,Standard
1598,Standard
1599,Standard
1600,Standard
1601,Standard
1602,Standard
1603,Standard
1604,Bad
1605,Bad
1606,Bad
1607,Bad
1608,Good
1609,Good
1610,Good
1611,Good
1612,Standard
1613,Standard
1614,Standard
1615,Standard
1616,Standard
1617,Standard
1618,Standard
1619,Standard
1620,Standard
1621,Standard
1622,Standard
1623,Standard
1624,Bad
1625,Bad
1626,Bad
1627,Bad
1628,Good
1629,Good
1630,Good
1631,Good
1632,Good
1633,Good
1634,Good
1635,Good
1636,Bad
1637,Bad
1638,Bad
1639,Bad
1640,Standard
1641,Standard
1642,Standard
1643,Standard
1644,Good
1645,Good
1646,Good
1647,Good
1648,Standard
1649,Standard
1650,Standard
1651,Standard
1652,Bad
1653,Bad
1654,Bad
1655,Bad
1656,Standard
1657,Standard
1658,Standard
1659,Standard
1660,Standard
1661,Standard
1662,Standard
1663,Standard
1664,Standard
1665,Standard
1666,Standard
1667,Standard
1668,Good
1669,Good
1670,Good
1671,Good
1672,Good
1673,Good
1674,Good
1675,Good
1676,Bad
1677,Bad
1678,Bad
1679,Bad
1680,Good
1681,Good
1682,Good
1683,Good
1684,Good
1685,Good
1686,Good
1687,Good
1688,Standard
1689,Standard
1690,Standard
1691,Standard
1692,Good
1693,Good
1694,Good
1695,Good
1696,Standard
1697,Standard
1698,Standard
1699,Standard
1700,Standard
1701,Standard
1702,Standard
1703,Standard
1704,Standard
1705,Standard
1706,Standard
1707,Standard
1708,Standard
1709,Standard
1710,Standard
1711,Standard
1712,Standard
1713,Standard
1714,Standard
1715,Standard
1716,Good
1717,Good
1718,Good
1719,Good
1720,Good
1721,Good
1722,Good
1723,Good
1724,Bad
1725,Bad
1726,Bad
1727,Bad
1728,Standard
1729,Standard
1730,Standard
1731,Standard
1732,Standard
1733,Standard
1734,Standard
1735,Standard
1736,Standard
1737,Standard
1738,Standard
1739,Standard
1740,Standard
1741,Standard
1742,Standard
1743,Standard
1744,Good
1745,Good
1746,Good
1747,Good
1748,Good
1749,Good
1750,Good
1751,Good
1752,Standard
1753,Standard
1754,Standard
1755,Standard
1756,Good
1757,Good
1758,Good
1759,Good
1760,Bad
1761,Bad
1762,Bad
1763,Bad
1764,Standard
1765,Standard
1766,Standard
1767,Standard
1768,Standard
1769,Standard
1770,Standard
1771,Standard
1772,Good
1773,Good
1774,Good
1775,Good
1776,Standard
1777,Standard
1778,Standard
1779,Standard
1780,Standard
1781,Standard
1782,Standard
1783,Standard
1784,Bad
1785,Bad
1786,Bad
1787,Bad
1788,Bad
1789,Bad
1790,Bad
1791,Bad
1792,Bad
1793,Bad
1794,Bad
1795,Bad
1796,Standard
1797,Standard
1798,Standard
1799,Standard
1800,Bad
1801,Bad
1802,Bad
1803,Bad
1804,Standard
1805,Standard
1806,Standard
1807,Standard
1808,Standard
1809,Standard
1810,Standard
1811,Standard
1812,Bad
1813,Bad
1814,Bad
1815,Bad
1816,Bad
1817,Bad
1818,Bad
1819,Bad
1820,Bad
1821,Bad
1822,Bad
1823,Bad
1824,Good
1825,Good
1826,Good
1827,Good
1828,Bad
1829,Bad
1830,Bad
1831,Bad
1832,Standard
1833,Standard
1834,Standard
1835,Standard
1836,Standard
1837,Standard
1838,Standard
1839,Standard
1840,_
1841,_
1842,_
1843,_
1844,Bad
1845,Bad
1846,Bad
1847,Bad
1848,Good
1849,Good
1850,Good
1851,Good
1852,Bad
1853,Bad
1854,Bad
1855,Bad
1856,Bad
1857,Bad
1858,Bad
1859,Bad
1860,Standard
1861,Standard
1862,Standard
1863,Standard
1864,Standard
1865,Standard
1866,Standard
1867,Standard
1868,Good
1869,Good
1870,Good
1871,Good
1872,Good
1873,Good
1874,Good
1875,Good
1876,Bad
1877,Bad
1878,Bad
1879,Bad
1880,Standard
1881,Standard
1882,Standard
1883,Standard
1884,Standard
1885,Standard
1886,Standard
1887,Standard
1888,Bad
1889,Bad
1890,Bad
1891,Bad
1892,Good
1893,Good
1894,Good
1895,Good
1896,Standard
1897,Standard
1898,Standard
1899,Standard
1900,Standard
1901,Standard
1902,Standard
1903,Standard
1904,Bad
1905,Bad
1906,Bad
1907,Bad
1908,Standard
1909,Standard
1910,Standard
1911,Standard
1912,Good
1913,Good
1914,Good
1915,Good
1916,Standard
1917,Standard
1918,Standard
1919,Standard
1920,Standard
1921,Standard
1922,Standard
1923,Standard
1924,Good
1925,Good
1926,Good
1927,Good
1928,Bad
1929,Bad
1930,Bad
1931,Bad
1932,Bad
1933,Bad
1934,Bad
1935,Bad
1936,Standard
1937,Standard
1938,Standard
1939,Standard
1940,Good
1941,Good
1942,Good
1943,Good
1944,Standard
1945,Standard
1946,Standard
1947,Standard
1948,Good
1949,Good
1950,Good
1951,Good
1952,Standard
1953,Standard
1954,Standard
1955,Standard
1956,Standard
1957,Standard
1958,Standard
1959,Standard
1960,Standard
1961,Standard
1962,Standard
1963,Standard
1964,Standard
1965,Standard
1966,Standard
1967,Standard
1968,Good
1969,Good
1970,Good
1971,Good
1972,Standard
1973,Standard
1974,Standard
1975,Standard
1976,Standard
1977,Standard
1978,Standard
1979,Standard
1980,Good
1981,Good
1982,Good
1983,Good
1984,Standard
1985,Standard
1986,Standard
1987,Standard
1988,Standard
1989,Standard
1990,Standard
1991,Standard
1992,Standard
1993,Standard
1994,Standard
1995,Standard
1996,Good
1997,Good
1998,Good
1999,Good
2000,Standard
2001,Standard
2002,Standard
2003,Standard
2004,Good
2005,Good
2006,Good
2007,Good
2008,Good
2009,Good
2010,Good
2011,Good
2012,Bad
2013,Bad
2014,Bad
2015,Bad
2016,Bad
2017,Bad
2018,Bad
2019,Bad
2020,Good
2021,Good
2022,Good
2023,Good
2024,Bad
2025,Bad
2026,Bad
2027,Bad
2028,Bad
2029,Bad
2030,Bad
2031,Bad
2032,Standard
2033,Standard
2034,Standard
2035,Standard
2036,Standard
2037,Standard
2038,Standard
2039,Standard
2040,Standard
2041,Standard
2042,Standard
2043,Standard
2044,Standard
2045,Standard
2046,Standard
2047,Standard
2048,Good
2049,Good
2050,Good
2051,Good
2052,Bad
2053,Bad
2054,Bad
2055,Bad
2056,Standard
2057,Standard
2058,Standard
2059,Standard
2060,Good
2061,Good
2062,Good
2063,Good
2064,Bad
2065,Bad
2066,Bad
2067,Bad
2068,Standard
2069,Standard
2070,Standard
2071,Standard
2072,Good
2073,Good
2074,Good
2075,Good
2076,Bad
2077,Bad
2078,Bad
2079,Bad
2080,Good
2081,Good
2082,Good
2083,Good
2084,Good
2085,Good
2086,Good
2087,Good
2088,Good
2089,Good
2090,Good
2091,Good
2092,Standard
2093,Standard
2094,Standard
2095,Standard
2096,Bad
2097,Bad
2098,Bad
2099,Bad
2100,Good
2101,Good
2102,Good
2103,Good
2104,Standard
2105,Standard
2106,Standard
2107,Standard
2108,Bad
2109,Bad
2110,Bad
2111,Bad
2112,Good
2113,Good
2114,Good
2115,Good
2116,Standard
2117,Standard
2118,Standard
2119,Standard
2120,Good
2121,Good
2122,Good
2123,Good
2124,Bad
2125,Bad
2126,Bad
2127,Bad
2128,Good
2129,Good
2130,Good
2131,Good
2132,Standard
2133,Standard
2134,Standard
2135,Standard
2136,Standard
2137,Standard
2138,Standard
2139,Standard
2140,Good
2141,Good
2142,Good
2143,Good
2144,Standard
2145,Standard
2146,Standard
2147,Standard
2148,Good
2149,Good
2150,Good
2151,Good
2152,Standard
2153,Standard
2154,Standard
2155,Standard
2156,Standard
2157,Standard
2158,Standard
2159,Standard
2160,Bad
2161,Bad
2162,Bad
2163,Bad
2164,Standard
2165,Standard
2166,Standard
2167,Standard
2168,Good
2169,Good
2170,Good
2171,Good
2172,Standard
2173,Standard
2174,Standard
2175,Standard
2176,Bad
2177,Bad
2178,Bad
2179,Bad
2180,Standard
2181,Standard
2182,Standard
2183,Standard
2184,Good
2185,Good
2186,Good
2187,Good
2188,Bad
2189,Bad
2190,Bad
2191,Bad
2192,Bad
2193,Bad
2194,Bad
2195,Bad
2196,Standard
2197,Standard
2198,Standard
2199,Standard
2200,Good
2201,Good
2202,Good
2203,Good
2204,Good
2205,Good
2206,Good
2207,Good
2208,Standard
2209,Standard
2210,Standard
2211,Standard
2212,Standard
2213,Standard
2214,Standard
2215,Standard
2216,Bad
2217,Bad
2218,Bad
2219,Bad
2220,Good
2221,Good
2222,Good
2223,Good
2224,Good
2225,Good
2226,Good
2227,Good
2228,Good
2229,Good
2230,Good
2231,Good
2232,Bad
2233,Bad
2234,Bad
2235,Bad
2236,Standard
2237,Standard
2238,Standard
2239,Standard
2240,Standard
