,Amount_invested_monthly
157,66.68835825
158,66.68835825
159,66.68835825
160,20.44668059
161,20.44668059
162,20.44668059
163,20.44668059
164,53.64864334
165,53.64864334
166,53.64864334
167,53.64864334
168,23.56048989
169,23.56048989
170,23.56048989
171,23.56048989
172,237.9183809
173,237.9183809
174,237.9183809
175,237.9183809
176,57.04699053
177,57.04699053
178,57.04699053
179,57.04699053
180,349.4767696
181,79.93896964
182,374.6061066
183,137.491049
184,45.62644682
185,45.62644682
186,45.62644682
187,45.62644682
188,85.08977068
189,85.08977068
190,85.08977068
191,85.08977068
192,55.37143812
193,55.37143812
194,55.37143812
195,55.37143812
196,202.5717009
197,202.5717009
198,202.5717009
199,202.5717009
200,59.49541612
201,59.49541612
202,59.49541612
203,59.49541612
204,37.21031013
205,37.21031013
206,37.21031013
207,37.21031013
208,14.89687808
209,14.89687808
210,14.89687808
211,14.89687808
212,96.70297297
213,96.70297297
214,96.70297297
215,96.70297297
216,23.47260473
217,23.47260473
218,23.47260473
219,23.47260473
220,48.25546331
221,84.65669025
222,140.6546044
223,322.3251951
224,52.18981024
225,52.18981024
226,52.18981024
227,52.18981024
228,365.126316
229,64.66200289
230,205.5147385
231,157.0296673
232,88.07126674
233,88.07126674
234,88.07126674
235,88.07126674
236,31.56000966
237,31.56000966
238,31.56000966
239,31.56000966
240,32.87003087
241,32.87003087
242,32.87003087
243,32.87003087
244,160.9675295
245,753.6510063
246,220.4831654
247,257.2299901
248,78.92670382
249,78.92670382
250,78.92670382
251,78.92670382
252,186.5091568
253,186.5091568
254,186.5091568
255,186.5091568
256,80.01264638
257,80.01264638
258,80.01264638
259,80.01264638
260,270.2923568
261,559.8451949
262,234.0353923
263,339.0742219
264,58.18904643
265,58.18904643
266,58.18904643
267,58.18904643
268,69.22823275
269,69.22823275
270,69.22823275
271,69.22823275
272,45.1847025
273,45.1847025
274,45.1847025
275,45.1847025
276,32.07149618
277,32.07149618
278,32.07149618
279,32.07149618
280,103.9012093
281,103.9012093
282,103.9012093
283,103.9012093
284,62.8949658
285,213.0299755
286,169.1161862
287,154.5437326
288,32.94987665
289,32.94987665
290,32.94987665
291,32.94987665
292,13.48631439
293,13.48631439
294,13.48631439
295,13.48631439
296,48.32875329
297,48.32875329
298,48.32875329
299,48.32875329
300,322.8961384
301,59.00626433
302,112.8705138
303,38.5674587
304,30.84846634
305,60.47310184
306,59.20263601
307,196.0587546
308,112.014526
309,112.014526
310,112.014526
311,112.014526
312,41.28906534
313,41.28906534
314,41.28906534
315,41.28906534
316,115.7644921
317,115.7644921
318,115.7644921
319,115.7644921
320,28.51604362
321,28.51604362
322,28.51604362
323,28.51604362
324,67.10576785
325,67.10576785
326,67.10576785
327,67.10576785
328,56.97757259
329,56.97757259
330,56.97757259
331,56.97757259
332,129.5214491
333,129.5214491
334,129.5214491
335,129.5214491
336,33.79278212
337,33.79278212
338,33.79278212
339,33.79278212
340,53.31965576
341,147.105287
342,87.00328762
343,108.1666892
344,41.29274773
345,41.29274773
346,41.29274773
347,41.29274773
348,45.39012956
349,45.39012956
350,45.39012956
351,45.39012956
352,104.1495626
353,67.62085303
354,229.9913603
355,217.2645487
356,14.78725004
357,14.78725004
358,14.78725004
359,14.78725004
360,156.870221
361,221.2432895
362,773.1150669
363,475.4249874
364,95.1739001
365,28.45823649
366,132.8562797
367,69.71746765
368,46.78581394
369,46.78581394
370,46.78581394
371,46.78581394
372,64.72167354
373,163.2307201
374,67.91798505
375,176.9050894
376,42.2870896
377,75.1999809
378,71.45490024
379,30.21363952
380,64.07518363
381,64.07518363
382,64.07518363
383,64.07518363
384,36.81438811
385,36.81438811
386,36.81438811
387,36.81438811
388,227.5336623
389,227.5336623
390,227.5336623
391,227.5336623
392,116.5331164
393,116.5331164
394,116.5331164
395,116.5331164
396,15.19396054
397,183.5091689
398,72.32148794
399,42.8233827
400,291.3699981
401,492.1625593
402,165.6900736
403,608.4725227
404,206.2163334
405,206.2163334
406,206.2163334
407,206.2163334
408,133.9001615
409,74.51265679
410,74.80924749
411,221.3593108
412,44.31234275
413,44.31234275
414,44.31234275
415,44.31234275
416,94.38794945
417,94.38794945
418,94.38794945
419,94.38794945
420,41.52856863
421,41.52856863
422,41.52856863
423,41.52856863
424,38.94642667
425,38.94642667
426,38.94642667
427,38.94642667
428,250.1575755
429,12.69957415
430,153.493292
431,89.30255448
432,32.41905411
433,32.41905411
434,32.41905411
435,32.41905411
436,136.5411226
437,62.6793168
438,47.30795793
439,79.25108829
440,11.7641184
441,11.7641184
442,11.7641184
443,11.7641184
444,71.70424222
445,66.62197879
446,51.65661433
447,226.4618227
448,36.94720504
449,36.94720504
450,36.94720504
451,36.94720504
452,72.06880053
453,72.06880053
454,72.06880053
455,72.06880053
456,19.68114412
457,19.68114412
458,19.68114412
459,19.68114412
460,131.3810358
461,131.3810358
462,131.3810358
463,131.3810358
464,89.61544253
465,144.3961706
466,34.29094816
467,192.3820964
468,37.73420491
469,122.2216697
470,106.0401451
471,28.01844341
472,106.6120577
473,106.6120577
474,106.6120577
475,106.6120577
476,47.96336563
477,47.96336563
478,47.96336563
479,47.96336563
480,36.03012555
481,36.03012555
482,36.03012555
483,36.03012555
484,29.93936684
485,29.93936684
486,29.93936684
487,29.93936684
488,13.80248657
489,13.80248657
490,13.80248657
491,13.80248657
492,98.17468497
493,98.17468497
494,98.17468497
495,98.17468497
496,36.73241195
497,36.73241195
498,36.73241195
499,36.73241195
500,0.0
501,0.0
502,0.0
503,0.0
504,158.1948404
505,198.84775
506,157.1016595
507,92.20045558
508,143.4860226
509,143.4860226
510,143.4860226
511,143.4860226
512,102.2207121
513,102.2207121
514,102.2207121
515,102.2207121
516,259.8360464
517,240.2834461
518,98.89156721
519,295.762758
520,60.16086359
521,60.16086359
522,60.16086359
523,60.16086359
524,34.14143378
525,34.14143378
526,34.14143378
527,34.14143378
528,36.48450487
529,30.89911476
530,49.19884454
531,61.03868811
532,94.20218078
533,138.3226545
534,28.47047558
535,57.88926089
536,299.9475981
537,205.5737884
538,34.79465481
539,84.98682293
540,38.98803587
541,38.98803587
542,38.98803587
543,38.98803587
544,700.2179356
545,72.16737026
546,692.604125
547,683.6664208
548,503.1029651
549,744.2709875
550,775.4914067
551,1082.506023
552,26.2700848
553,26.2700848
554,26.2700848
555,26.2700848
556,170.9842009
557,170.9842009
558,170.9842009
559,170.9842009
560,64.80907842
561,64.80907842
562,64.80907842
563,64.80907842
564,14.57763493
565,14.57763493
566,14.57763493
567,14.57763493
568,70.03444643
569,70.03444643
570,70.03444643
571,70.03444643
572,25.85641455
573,25.85641455
574,25.85641455
575,25.85641455
576,721.1593856
577,607.0876405
578,554.3277976
579,97.08157273
580,37.90995389
581,37.90995389
582,37.90995389
583,37.90995389
584,26.8701924
585,26.8701924
586,26.8701924
587,26.8701924
588,111.9186885
589,182.4483731
590,115.2722489
591,19.62006237
592,156.0510657
593,156.0510657
594,156.0510657
595,156.0510657
596,20.99723703
597,20.99723703
598,20.99723703
599,20.99723703
600,54.66555554
601,54.66555554
602,54.66555554
603,54.66555554
604,63.43139147
605,63.43139147
606,63.43139147
607,63.43139147
608,93.31106009
609,93.31106009
610,93.31106009
611,93.31106009
612,143.4420789
613,61.48644359
614,82.47750214
615,318.5485551
616,42.14609888
617,42.14609888
618,42.14609888
619,42.14609888
620,57.83548953
621,57.83548953
622,57.83548953
623,57.83548953
624,29.44719579
625,29.44719579
626,29.44719579
627,29.44719579
628,22.03026347
629,22.03026347
630,22.03026347
631,22.03026347
632,245.9265544
633,581.6941526
634,379.6715175
635,379.6729336
636,10.13191094
637,10.13191094
638,10.13191094
639,10.13191094
640,19.01948976
641,19.01948976
642,19.01948976
643,19.01948976
644,65.83274998
645,33.33210821
646,100.5532313
647,95.84572568
648,25.49382195
649,25.49382195
650,25.49382195
651,25.49382195
652,70.98632216
653,70.98632216
654,70.98632216
655,70.98632216
656,20.14142612
657,20.14142612
658,20.14142612
659,20.14142612
660,91.7246916
661,91.7246916
662,91.7246916
663,91.7246916
664,86.08554976
665,127.7756271
666,179.5771313
667,74.88455496
668,37.17466132
669,37.17466132
670,37.17466132
671,37.17466132
672,32.15559293
673,32.15559293
674,32.15559293
675,32.15559293
676,33.06825133
677,33.06825133
678,33.06825133
679,33.06825133
680,93.11963409
681,93.11963409
682,93.11963409
683,93.11963409
684,31.69155149
685,31.69155149
686,31.69155149
687,31.69155149
688,89.48137724
689,89.48137724
690,89.48137724
691,89.48137724
692,128.8337903
693,128.8337903
694,128.8337903
695,128.8337903
696,31.60255315
697,53.37417204
698,106.9392585
699,19.32906421
700,47.01439107
701,47.01439107
702,47.01439107
703,47.01439107
704,72.03125867
705,37.7948997
706,92.92762624
707,57.10044211
708,45.93646328
709,97.9426732
710,80.80682812
711,144.3268143
712,596.827645
713,549.3394363
714,155.8727885
715,1113.149859
716,22.44818432
717,22.44818432
718,22.44818432
719,22.44818432
720,1016.569038
721,621.4073316
722,273.8510378
723,437.3032197
724,73.39764612
725,73.39764612
726,73.39764612
727,73.39764612
728,46.65008321
729,46.65008321
730,46.65008321
731,46.65008321
732,55.6242093
733,55.6242093
734,55.6242093
735,55.6242093
736,89.17149835
737,89.17149835
738,89.17149835
739,89.17149835
740,65.07212528
741,65.07212528
742,65.07212528
743,65.07212528
744,10.92203908
745,10.92203908
746,10.92203908
747,10.92203908
748,96.74952391
749,1284.200711
750,227.7977735
751,234.6648737
752,231.2661204
753,203.7203982
754,181.0944695
755,43.15596063
756,105.3830783
757,134.9480684
758,159.3271423
759,183.62498
760,379.6989309
761,617.0044134
762,77.11053037
763,187.1919573
764,164.6036398
765,164.6036398
766,164.6036398
767,164.6036398
768,30.75161819
769,30.75161819
770,30.75161819
771,30.75161819
772,548.1540668
773,767.6092415
774,745.1152438
775,92.12648732
776,29.85757619
777,29.85757619
778,29.85757619
779,29.85757619
780,63.75924225
781,63.75924225
782,63.75924225
783,63.75924225
784,60.36119386
785,57.3630368
786,133.135193
787,71.93190002
788,405.1939325
789,71.63194028
790,232.918572
791,85.06097219
792,100.6951534
793,159.5047221
794,184.0574092
795,253.5470594
796,498.4586493
797,201.7593663
798,488.4318035
799,158.3635948
800,65.54194243
801,110.6747826
802,99.35219216
803,123.0815969
804,127.7979868
805,127.7979868
806,127.7979868
807,127.7979868
808,59.84235304
809,59.84235304
810,59.84235304
811,59.84235304
812,11.2406227
813,11.2406227
814,11.2406227
815,11.2406227
816,34.03685043
817,34.03685043
818,34.03685043
819,34.03685043
820,900.778121
821,1095.648013
822,1168.098456
823,177.8583138
824,28.0576725
825,28.0576725
826,28.0576725
827,28.0576725
828,79.29214465
829,79.29214465
830,79.29214465
831,79.29214465
832,71.20878137
833,123.1007622
834,104.1443456
835,139.3819874
836,42.37277596
837,42.37277596
838,42.37277596
839,42.37277596
840,107.6198959
841,107.6198959
842,107.6198959
843,107.6198959
844,499.7731077
845,306.4465576
846,332.7496431
847,155.3440941
848,55.54852462
849,25.01799917
850,14.35062605
851,36.59332138
852,96.98594296
853,66.78335564
854,98.73149063
855,70.64417271
856,0.0
857,0.0
858,0.0
859,0.0
860,68.2725422
861,68.2725422
862,68.2725422
863,68.2725422
864,546.7536544
865,906.1688437
866,425.9681369
867,868.4847389
868,48.81642836
869,48.81642836
870,48.81642836
871,48.81642836
872,524.4543332
873,271.6957908
874,190.3381236
875,273.3002371
876,12.65352944
877,12.65352944
878,12.65352944
879,12.65352944
880,56.43822153
881,190.3159875
882,303.4122664
883,34.86953915
884,104.4267567
885,189.3230657
886,122.5177924
887,184.5534136
888,96.40731614
889,85.81486332
890,86.08932756
891,224.4207183
892,63.52561124
893,63.52561124
894,63.52561124
895,63.52561124
896,58.19128307
897,47.34294672
898,32.14168339
899,59.87646256
900,13.05121042
901,13.05121042
902,13.05121042
903,13.05121042
904,153.3564595
905,67.47230774
906,59.47876282
907,83.11819444
908,68.03590698
909,68.03590698
910,68.03590698
911,68.03590698
912,92.99192551
913,92.99192551
914,92.99192551
915,92.99192551
916,32.42887831
917,32.42887831
918,32.42887831
919,32.42887831
920,31.28833879
921,31.28833879
922,31.28833879
923,31.28833879
924,104.1574268
925,104.1574268
926,104.1574268
927,104.1574268
928,61.08345477
929,61.08345477
930,61.08345477
931,61.08345477
932,35.82153516
933,35.82153516
934,35.82153516
935,35.82153516
936,70.7331489
937,70.7331489
938,70.7331489
939,70.7331489
940,13.91340274
941,13.91340274
942,13.91340274
943,13.91340274
944,94.10459901
945,116.4581604
946,272.9347817
947,168.0741425
948,13.5798016
949,13.5798016
950,13.5798016
951,13.5798016
952,55.60293594
953,20.49324516
954,15.62948901
955,98.63853714
956,59.05449611
957,59.05449611
958,59.05449611
959,59.05449611
960,50.62028685
961,50.62028685
962,50.62028685
963,50.62028685
964,40.85980986
965,49.34185316
966,53.62779875
967,91.65712769
968,26.09490436
969,26.09490436
970,26.09490436
971,26.09490436
972,55.0244348
973,55.0244348
974,55.0244348
975,55.0244348
976,32.02689485
977,32.02689485
978,32.02689485
979,32.02689485
980,60.20177649
981,60.20177649
982,60.20177649
983,60.20177649
984,75.38542323
985,75.38542323
986,75.38542323
987,75.38542323
988,204.3737883
989,32.64745455
990,104.8384409
991,52.56183628
992,88.91943271
993,88.91943271
994,88.91943271
995,88.91943271
996,23.09480989
997,23.09480989
998,23.09480989
999,23.09480989
1000,75.12970315
1001,75.12970315
1002,75.12970315
1003,75.12970315
1004,34.74442449
1005,34.74442449
1006,34.74442449
1007,34.74442449
1008,79.92770138
1009,79.92770138
1010,79.92770138
1011,79.92770138
1012,24.41633266
1013,24.41633266
1014,24.41633266
1015,24.41633266
1016,52.94035749
1017,58.46803207
1018,130.8878733
1019,87.17730587
1020,124.7292382
1021,414.9585468
1022,549.733276
1023,168.4615635
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,293.0593174
1029,75.06974703
1030,59.79521498
1031,75.92216277
1032,61.08613083
1033,61.08613083
1034,61.08613083
1035,61.08613083
1036,49.97686544
1037,49.97686544
1038,49.97686544
1039,49.97686544
1040,23.09988104
1041,23.09988104
1042,23.09988104
1043,23.09988104
1044,107.7125187
1045,107.7125187
1046,107.7125187
1047,107.7125187
1048,42.00588749
1049,42.00588749
1050,42.00588749
1051,42.00588749
1052,48.52437235
1053,48.52437235
1054,48.52437235
1055,48.52437235
1056,52.61005016
1057,52.61005016
1058,52.61005016
1059,52.61005016
1060,167.5885997
1061,134.9620266
1062,148.4431479
1063,109.4982336
1064,23.23357854
1065,23.23357854
1066,23.23357854
1067,23.23357854
1068,91.67561896
1069,119.1649387
1070,74.55368595
1071,348.1385208
1072,98.45269481
1073,150.9801486
1074,167.6566098
1075,236.6245761
1076,56.37441299
1077,56.37441299
1078,56.37441299
1079,56.37441299
1080,77.54795805
1081,77.54795805
1082,77.54795805
1083,77.54795805
1084,17.38372767
1085,17.38372767
1086,17.38372767
1087,17.38372767
1088,19.66258537
1089,19.66258537
1090,19.66258537
1091,19.66258537
1092,96.1811341
1093,96.1811341
1094,96.1811341
1095,96.1811341
1096,151.7920653
1097,169.8163078
1098,64.06459601
1099,256.494015
1100,80.75183851
1101,80.75183851
1102,80.75183851
1103,80.75183851
1104,64.2920881
1105,64.2920881
1106,64.2920881
1107,64.2920881
1108,39.11311135
1109,39.11311135
1110,39.11311135
1111,39.11311135
1112,121.4104999
1113,121.4104999
1114,121.4104999
1115,121.4104999
1116,22.45317291
1117,22.45317291
1118,22.45317291
1119,22.45317291
1120,28.75335033
1121,28.75335033
1122,28.75335033
1123,28.75335033
1124,105.3180198
1125,105.3180198
1126,105.3180198
1127,105.3180198
1128,37.87691806
1129,37.87691806
1130,37.87691806
1131,37.87691806
1132,52.03071644
1133,129.8418831
1134,11.78048614
1135,71.95971191
1136,379.5153437
1137,90.03239326
1138,137.2020477
1139,59.17716563
1140,40.13372244
1141,40.13372244
1142,40.13372244
1143,40.13372244
1144,52.30567881
1145,52.30567881
1146,52.30567881
1147,52.30567881
1148,32.84142071
1149,32.84142071
1150,32.84142071
1151,32.84142071
1152,69.07804175
1153,69.07804175
1154,69.07804175
1155,69.07804175
1156,74.92612277
1157,89.83115208
1158,44.58241946
1159,29.37609957
1160,322.6151012
1161,658.6351958
1162,172.6290966
1163,173.3545656
1164,147.6611844
1165,512.3463177
1166,158.4840676
1167,232.2946445
1168,226.112363
1169,268.4521103
1170,53.01356471
1171,182.5329197
1172,297.9868479
1173,309.5745885
1174,93.06519944
1175,142.0249911
1176,104.3915503
1177,104.3915503
1178,104.3915503
1179,104.3915503
1180,79.45974051
1181,79.45974051
1182,79.45974051
1183,79.45974051
1184,38.12733792
1185,38.12733792
1186,38.12733792
1187,38.12733792
1188,225.5041584
1189,897.5518105
1190,475.2971939
1191,191.3842329
1192,64.10651843
1193,64.10651843
1194,64.10651843
1195,64.10651843
1196,14.45150678
1197,14.45150678
1198,14.45150678
1199,14.45150678
1200,101.0140736
1201,101.0140736
1202,101.0140736
1203,101.0140736
1204,129.8319667
1205,129.8319667
1206,129.8319667
1207,129.8319667
1208,39.52354957
1209,39.52354957
1210,39.52354957
1211,39.52354957
1212,133.6741155
1213,133.6741155
1214,133.6741155
1215,133.6741155
1216,120.9389212
1217,120.9389212
1218,120.9389212
1219,120.9389212
1220,75.21324358
1221,75.21324358
1222,75.21324358
1223,75.21324358
1224,55.29375018
1225,52.69959975
1226,297.3300141
1227,148.6791663
1228,92.48856132
1229,92.48856132
1230,92.48856132
1231,92.48856132
1232,12.49458031
1233,12.49458031
1234,12.49458031
1235,12.49458031
1236,63.42349717
1237,108.598369
1238,84.97998674
1239,85.54431432
1240,44.57131426
1241,44.57131426
1242,44.57131426
1243,44.57131426
1244,39.60399979
1245,39.60399979
1246,39.60399979
1247,39.60399979
1248,54.10018224
1249,54.10018224
1250,54.10018224
1251,54.10018224
1252,12.51798796
1253,12.51798796
1254,12.51798796
1255,12.51798796
1256,171.184497
1257,57.55500098
1258,403.7900702
1259,405.6784103
1260,92.74095749
1261,92.74095749
1262,92.74095749
1263,92.74095749
1264,145.4456307
1265,58.26533637
1266,85.10534244
1267,213.3905533
1268,897.5179587
1269,90.69642707
1270,283.4704089
1271,251.8265893
1272,101.6600796
1273,101.6600796
1274,101.6600796
1275,101.6600796
1276,61.64215703
1277,61.64215703
1278,61.64215703
1279,61.64215703
1280,173.4408122
1281,131.2185886
1282,51.46133616
1283,99.21517476
1284,252.7484855
1285,58.05925779
1286,278.9873801
1287,63.81356113
1288,50.0895433
1289,50.0895433
1290,50.0895433
1291,50.0895433
1292,83.14661978
1293,49.13627875
1294,75.29335497
1295,98.90427158
1296,78.07425312
1297,78.07425312
1298,78.07425312
1299,78.07425312
1300,41.67108038
1301,41.67108038
1302,41.67108038
1303,41.67108038
1304,388.684977
1305,184.4123367
1306,415.5412389
1307,505.9585543
1308,197.367657
1309,359.6779917
1310,668.4966291
1311,117.8140552
1312,51.2605352
1313,51.2605352
1314,51.2605352
1315,51.2605352
1316,56.85090187
1317,83.05311203
1318,77.65079642
1319,25.2530983
1320,138.510389
1321,140.8627525
1322,68.33162082
1323,82.92075988
1324,301.0432591
1325,204.2318223
1326,147.5579205
1327,93.15074121
1328,41.79090909
1329,41.79090909
1330,41.79090909
1331,41.79090909
1332,36.51192812
1333,36.51192812
1334,36.51192812
1335,36.51192812
1336,26.46895035
1337,26.46895035
1338,26.46895035
1339,26.46895035
1340,116.1387043
1341,116.1387043
1342,116.1387043
1343,116.1387043
1344,43.86994874
1345,43.86994874
1346,43.86994874
1347,43.86994874
1348,1432.127807
1349,255.2837072
1350,264.9308119
1351,98.24135643
1352,89.7804197
1353,89.7804197
1354,89.7804197
1355,89.7804197
1356,36.46326468
1357,36.46326468
1358,36.46326468
1359,36.46326468
1360,14.34218526
1361,14.34218526
1362,14.34218526
1363,14.34218526
1364,359.1187774
1365,221.1670562
1366,335.9142053
1367,106.0774886
1368,29.44017907
1369,29.44017907
1370,29.44017907
1371,29.44017907
1372,540.1106934
1373,301.369566
1374,283.0772556
1375,171.7356321
1376,20.93018561
1377,20.93018561
1378,20.93018561
1379,20.93018561
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,39.24223177
1385,39.24223177
1386,39.24223177
1387,39.24223177
1388,251.4430534
1389,31.18424788
1390,67.21150776
1391,137.7418393
1392,86.92695747
1393,86.92695747
1394,86.92695747
1395,86.92695747
1396,521.5366161
1397,246.9742145
1398,213.4000346
1399,309.380512
1400,305.4400842
1401,670.2276626
1402,186.2623058
1403,153.5775485
1404,44.93601303
1405,44.93601303
1406,44.93601303
1407,44.93601303
1408,167.968614
1409,55.52320716
1410,33.08366986
1411,66.34350831
1412,138.1262369
1413,99.66265512
1414,152.8336892
1415,75.12287835
1416,32.4673624
1417,47.33336105
1418,79.41007153
1419,37.86348449
1420,76.80930253
1421,76.80930253
1422,76.80930253
1423,76.80930253
1424,109.0260988
1425,109.0260988
1426,109.0260988
1427,109.0260988
1428,68.810031
1429,16.40567878
1430,53.41218343
1431,95.01871115
1432,16.11466977
1433,16.11466977
1434,16.11466977
1435,16.11466977
1436,52.48078257
1437,201.1633846
1438,71.52691791
1439,47.96308106
1440,31.78209989
1441,49.26022334
1442,173.4842265
1443,136.7906834
1444,41.79900934
1445,41.79900934
1446,41.79900934
1447,41.79900934
1448,65.88851788
1449,65.88851788
1450,65.88851788
1451,65.88851788
1452,86.12803043
1453,88.53689618
1454,57.11411017
1455,96.00068288
1456,34.6951852
1457,34.6951852
1458,34.6951852
1459,34.6951852
1460,58.11685365
1461,58.11685365
1462,58.11685365
1463,58.11685365
1464,150.8701341
1465,150.8701341
1466,150.8701341
1467,150.8701341
1468,102.3860761
1469,102.3860761
1470,102.3860761
1471,102.3860761
1472,15.6311459
1473,15.6311459
1474,15.6311459
1475,15.6311459
1476,130.304986
1477,130.304986
1478,130.304986
1479,130.304986
1480,549.990879
1481,490.8307624
1482,88.00228352
1483,101.1503906
1484,52.75492104
1485,52.75492104
1486,52.75492104
1487,52.75492104
1488,19.51340238
1489,19.51340238
1490,19.51340238
1491,19.51340238
1492,147.8499442
1493,147.8499442
1494,147.8499442
1495,147.8499442
1496,30.44002056
1497,30.44002056
1498,30.44002056
1499,30.44002056
1500,41.68315348
1501,41.68315348
1502,41.68315348
1503,41.68315348
1504,12.68004582
1505,12.68004582
1506,12.68004582
1507,12.68004582
1508,49.23523108
1509,49.23523108
1510,49.23523108
1511,49.23523108
1512,74.06712599
1513,74.06712599
1514,74.06712599
1515,74.06712599
1516,52.95080684
1517,52.95080684
1518,52.95080684
1519,52.95080684
1520,69.91864953
1521,69.91864953
1522,69.91864953
1523,69.91864953
1524,55.61515248
1525,55.61515248
1526,55.61515248
1527,55.61515248
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,43.70119807
1533,43.70119807
1534,43.70119807
1535,43.70119807
1536,20.57699241
1537,48.53434555
1538,55.35896538
1539,100.5809834
1540,55.86387063
1541,55.86387063
1542,55.86387063
1543,55.86387063
1544,192.287301
1545,192.287301
1546,192.287301
1547,192.287301
1548,25.39483632
1549,25.39483632
1550,25.39483632
1551,25.39483632
1552,15.33001034
1553,15.33001034
1554,15.33001034
1555,15.33001034
1556,35.30218881
1557,35.30218881
1558,35.30218881
1559,35.30218881
1560,197.9672755
1561,45.62491512
1562,108.042445
1563,267.2775421
1564,82.86101451
1565,82.86101451
1566,82.86101451
1567,82.86101451
1568,12.71653025
1569,12.71653025
1570,12.71653025
1571,12.71653025
1572,88.71899818
1573,88.71899818
1574,88.71899818
1575,88.71899818
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,28.08706903
1581,28.08706903
1582,28.08706903
1583,28.08706903
1584,172.3742699
1585,67.5158389
1586,148.6635971
1587,113.4174354
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,160.1570919
1593,160.1570919
1594,160.1570919
1595,160.1570919
1596,132.235915
1597,265.1114752
1598,401.6697177
1599,93.32167636
1600,26.98604458
1601,26.98604458
1602,26.98604458
1603,26.98604458
1604,16.92421949
1605,16.92421949
1606,16.92421949
1607,16.92421949
1608,103.9307785
1609,210.8938104
1610,415.9444773
1611,367.4402297
1612,64.23193423
1613,64.23193423
1614,64.23193423
1615,64.23193423
1616,132.6350744
1617,132.6350744
1618,132.6350744
1619,132.6350744
1620,126.9990215
1621,205.1826138
1622,103.6578343
1623,444.6917335
1624,315.5815084
1625,197.759619
1626,541.5823802
1627,419.9626095
1628,339.2401826
1629,67.30260918
1630,728.1557014
1631,48.14765355
1632,82.76363368
1633,82.76363368
1634,82.76363368
1635,82.76363368
1636,49.20754031
1637,51.09023699
1638,62.57791749
1639,35.50410491
1640,72.98422288
1641,139.1078974
1642,90.03557279
1643,62.59769943
1644,31.73564062
1645,31.73564062
1646,31.73564062
1647,31.73564062
1648,42.87755222
1649,42.87755222
1650,42.87755222
1651,42.87755222
1652,393.1322801
1653,109.0832331
1654,55.18036587
1655,215.6819355
1656,23.8661523
1657,23.8661523
1658,23.8661523
1659,23.8661523
1660,251.4621729
1661,119.4861744
1662,298.1173562
1663,160.9517459
1664,57.3768967
1665,57.3768967
1666,57.3768967
1667,57.3768967
1668,195.3936374
1669,109.7188841
1670,131.4869112
1671,153.5920086
1672,47.79960517
1673,47.79960517
1674,47.79960517
