,Outstanding_Debt
335,668.14
336,660.69
337,660.69
338,660.69
339,660.69
340,3865.15
341,3865.15
342,3865.15
343,3865.15
344,1549.56
345,1549.56
346,1549.56
347,1549.56
348,343.84
349,343.84
350,343.84
351,343.84
352,919.76
353,919.76
354,919.76
355,919.76
356,565.22
357,565.22
358,565.22
359,565.22
360,519.3
361,519.3
362,519.3
363,519.3
364,363.51
365,363.51
366,363.51
367,363.51
368,635.59
369,635.59
370,635.59
371,635.59
372,35.54
373,35.54
374,35.54
375,35.54
376,4845.24
377,4845.24
378,4845.24
379,4845.24
380,3589.56
381,3589.56
382,3589.56
383,3589.56
384,1194.28
385,1194.28
386,1194.28
387,1194.28
388,404.51
389,404.51
390,404.51
391,404.51
392,1113.06
393,1113.06
394,1113.06
395,1113.06
396,3598.39
397,3598.39
398,3598.39
399,3598.39
400,585.05
401,585.05
402,585.05
403,585.05
404,1428.68
405,1428.68
406,1428.68
407,1428.68
408,1755.81
409,1755.81
410,1755.81
411,1755.81
412,1237.46
413,1237.46
414,1237.46
415,1237.46
416,2593.44
417,2593.44
418,2593.44
419,2593.44
420,1973.63
421,1973.63
422,1973.63
423,1973.63
424,1460.8
425,1460.8
426,1460.8
427,1460.8
428,339.11
429,339.11
430,339.11
431,339.11
432,358.6
433,358.6
434,358.6
435,358.6
436,330.17
437,330.17
438,330.17
439,330.17
440,186.16
441,186.16
442,186.16
443,186.16
444,399.92
445,399.92
446,399.92
447,399.92
448,646.47
449,646.47
450,646.47
451,646.47
452,1743.83
453,1743.83
454,1743.83
455,1743.83
456,687.87
457,687.87
458,687.87
459,687.87
460,1250.67
461,1250.67
462,1250.67
463,1250.67
464,1859.45
465,1859.45
466,1859.45
467,1859.45
468,3135.02
469,3135.02
470,3135.02
471,3135.02
472,3947.24
473,3947.24
474,3947.24
475,3947.24
476,1357.54
477,1357.54
478,1357.54
479,1357.54
480,4428.64
481,4428.64
482,4428.64
483,4428.64
484,2103.99
485,2103.99
486,2103.99
487,2103.99
488,2226.37
489,2226.37
490,2226.37
491,2226.37
492,1487.9
493,1487.9
494,1487.9
495,1487.9
496,89.62
497,89.62
498,89.62
499,89.62
500,1823.35
501,1823.35
502,1823.35
503,1823.35
504,1073.94
505,1073.94
506,1073.94
507,1073.94
508,89.68
509,89.68
510,89.68
511,89.68
512,1151.7
513,1151.7
514,1151.7
515,1151.7
516,869.99
517,869.99
518,869.99
519,869.99
520,1480.92
521,1480.92
522,1480.92
523,1480.92
524,1950.62
525,1950.62
526,1950.62
527,1950.62
528,2569.3
529,2569.3
530,2569.3
531,2569.3
532,2008.06
533,2008.06
534,2008.06
535,2008.06
536,195.38
537,195.38
538,195.38
539,195.38
540,1403.17
541,1403.17
542,1403.17
543,1403.17
544,385.8
545,385.8
546,385.8
547,385.8
548,605.34
549,605.34
550,605.34
551,605.34
552,512.38
553,512.38
554,512.38
555,512.38
556,140.26
557,140.26
558,140.26
559,140.26
560,3962.08
561,3962.08
562,3962.08
563,3962.08
564,784.35
565,784.35
566,784.35
567,784.35
568,1496.38
569,1496.38
570,1496.38
571,1496.38
572,1054.86
573,1054.86
574,1054.86
575,1054.86
576,4167.43
577,4167.43
578,4167.43
579,4167.43
580,1374.23
581,1374.23
582,1374.23
583,1374.23
584,775.22
585,775.22
586,775.22
587,775.22
588,2362.68
589,2362.68
590,2362.68
591,2362.68
592,1295.18
593,1295.18
594,1295.18
595,1295.18
596,1672.68
597,1672.68
598,1672.68
599,1672.68
600,180.94
601,180.94
602,180.94
603,180.94
604,203.03
605,203.03
606,203.03
607,203.03
608,257.81
609,257.81
610,257.81
611,257.81
612,900.83
613,900.83
614,900.83
615,900.83
616,467.64
617,467.64
618,467.64
619,467.64
620,1166.47
621,1166.47
622,1166.47
623,1166.47
624,1287.59
625,1287.59
626,1287.59
627,1287.59
628,816.46
629,816.46
630,816.46
631,816.46
632,951.36
633,951.36
634,951.36
635,951.36
636,540.07
637,540.07
638,540.07
639,540.07
640,4445.32
641,4445.32
642,4445.32
643,4445.32
644,3035.88
645,3035.88
646,3035.88
647,3035.88
648,4404.48
649,4404.48
650,4404.48
651,4404.48
652,276.91
653,276.91
654,276.91
655,276.91
656,1701.58
657,1701.58
658,1701.58
659,1701.58
660,877.06
661,877.06
662,877.06
663,877.06
664,2686.18
665,2686.18
666,2686.18
667,2686.18
668,457.81
669,457.81
670,457.81
671,457.81
672,611.04
673,611.04
674,611.04
675,611.04
676,1409.58
677,1409.58
678,1409.58
679,1409.58
680,1635.19
681,1635.19
682,1635.19
683,1635.19
684,1684.06
685,1684.06
686,1684.06
687,1684.06
688,455.22
689,455.22
690,455.22
691,455.22
692,923.85
693,923.85
694,923.85
695,923.85
696,257.85
697,257.85
698,257.85
699,257.85
700,2989.13
701,2989.13
702,2989.13
703,2989.13
704,181.68
705,181.68
706,181.68
707,181.68
708,889.62
709,889.62
710,889.62
711,889.62
712,1358.65
713,1358.65
714,1358.65
715,1358.65
716,1226.23
717,1226.23
718,1226.23
719,1226.23
720,816.21
721,816.21
722,816.21
723,816.21
724,1339.6
725,1339.6
726,1339.6
727,1339.6
728,71.52
729,71.52
730,71.52
731,71.52
732,265.86
733,265.86
734,265.86
735,265.86
736,4525.08
737,4525.08
738,4525.08
739,4525.08
740,1126.35
741,1126.35
742,1126.35
743,1126.35
744,2086.22
745,2086.22
746,2086.22
747,2086.22
748,429.77
749,429.77
750,429.77
751,429.77
752,1286.07
753,1286.07
754,1286.07
755,1286.07
756,2593.23
757,2593.23
758,2593.23
759,2593.23
760,2196.59
761,2196.59
762,2196.59
763,2196.59
764,1030.2
765,1030.2
766,1030.2
767,1030.2
768,2098.83
769,2098.83
770,2098.83
771,2098.83
772,750.95
773,750.95
774,750.95
775,750.95
776,220.33
777,220.33
778,220.33
779,220.33
780,957.53
781,957.53
782,957.53
783,957.53
784,761.18
785,761.18
786,761.18
787,761.18
788,226.7
789,226.7
790,226.7
791,226.7
792,133.3
793,133.3
794,133.3
795,133.3
796,1396.64
797,1396.64
798,1396.64
799,1396.64
800,1048.26
801,1048.26
802,1048.26
803,1048.26
804,50.22
805,50.22
806,50.22
807,50.22
808,2958.02
809,2958.02
810,2958.02
811,2958.02
812,117.57
813,117.57
814,117.57
815,117.57
816,1343.01
817,1343.01
818,1343.01
819,1343.01
820,282.56
821,282.56
822,282.56
823,282.56
824,1463.07
825,1463.07
826,1463.07
827,1463.07
828,1342.61
829,1342.61
830,1342.61
831,1342.61
832,1205.36
833,1205.36
834,1205.36
835,1205.36
836,2403.26
837,2403.26
838,2403.26
839,2403.26
840,482.88
841,482.88
842,482.88
843,482.88
844,1197.33
845,1197.33
846,1197.33
847,1197.33
848,2924.76
849,2924.76
850,2924.76
851,2924.76
852,2203.46
853,2203.46
854,2203.46
855,2203.46
856,2518.98
857,2518.98
858,2518.98
859,2518.98
860,939.31
861,939.31
862,939.31
863,939.31
864,967.23
865,967.23
866,967.23
867,967.23
868,4288.63
869,4288.63
870,4288.63
871,4288.63
872,2530.66
873,2530.66
874,2530.66
875,2530.66
876,1580.91
877,1580.91
878,1580.91
879,1580.91
880,2626.28
881,2626.28
882,2626.28
883,2626.28
884,1092.55
885,1092.55
886,1092.55
887,1092.55
888,643.89
889,643.89
890,643.89
891,643.89
892,4685.34
893,4685.34
894,4685.34
895,4685.34
896,2216.25
897,2216.25
898,2216.25
899,2216.25
900,1669.84
901,1669.84
902,1669.84
903,1669.84
904,1118.37
905,1118.37
906,1118.37
907,1118.37
908,315.36
909,315.36
910,315.36
911,315.36
912,1124.02
913,1124.02
914,1124.02
915,1124.02
916,86.43
917,86.43
918,86.43
919,86.43
920,2206.86
921,2206.86
922,2206.86
923,2206.86
924,1037.68
925,1037.68
926,1037.68
927,1037.68
928,1177.38
929,1177.38
930,1177.38
931,1177.38
932,1290.73
933,1290.73
934,1290.73
935,1290.73
936,4736.25
937,4736.25
938,4736.25
939,4736.25
940,2041.74
941,2041.74
942,2041.74
943,2041.74
944,705.44
945,705.44
946,705.44
947,705.44
948,583.27
949,583.27
950,583.27
951,583.27
952,1127.57
953,1127.57
954,1127.57
955,1127.57
956,463.07
957,463.07
958,463.07
959,463.07
960,1275.46
961,1275.46
962,1275.46
963,1275.46
964,2506.45
965,2506.45
966,2506.45
967,2506.45
968,169.86
969,169.86
970,169.86
971,169.86
972,627.5
973,627.5
974,627.5
975,627.5
976,811.08
977,811.08
978,811.08
979,811.08
980,846.45
981,846.45
982,846.45
983,846.45
984,701.27
985,701.27
986,701.27
987,701.27
988,1369.54
989,1369.54
990,1369.54
991,1369.54
992,1435.94
993,1435.94
994,1435.94
995,1435.94
996,2195.63
997,2195.63
998,2195.63
999,2195.63
1000,54.68
1001,54.68
1002,54.68
1003,54.68
1004,343.6
1005,343.6
1006,343.6
1007,343.6
1008,843.44
1009,843.44
1010,843.44
1011,843.44
1012,1514.74
1013,1514.74
1014,1514.74
1015,1514.74
1016,554.48
1017,554.48
1018,554.48
1019,554.48
1020,505.14
1021,505.14
1022,505.14
1023,505.14
1024,2354.21
1025,2354.21
1026,2354.21
1027,2354.21
1028,586.6
1029,586.6
1030,586.6
1031,586.6
1032,1385.89
1033,1385.89
1034,1385.89
1035,1385.89
1036,54.82
1037,54.82
1038,54.82
1039,54.82
1040,651.85
1041,651.85
1042,651.85
1043,651.85
1044,3164.78
1045,3164.78
1046,3164.78
1047,3164.78
1048,2076.13
1049,2076.13
1050,2076.13
1051,2076.13
1052,1450.37
1053,1450.37
1054,1450.37
1055,1450.37
1056,96.31
1057,96.31
1058,96.31
1059,96.31
1060,1329.59
1061,1329.59
1062,1329.59
1063,1329.59
1064,1319.87
1065,1319.87
1066,1319.87
1067,1319.87
1068,4090.5
1069,4090.5
1070,4090.5
1071,4090.5
1072,4196.17
1073,4196.17
1074,4196.17
1075,4196.17
1076,1571.52
1077,1571.52
1078,1571.52
1079,1571.52
1080,142.05
1081,142.05
1082,142.05
1083,142.05
1084,2725.14
1085,2725.14
1086,2725.14
1087,2725.14
1088,2114.92
1089,2114.92
1090,2114.92
1091,2114.92
1092,64.53
1093,64.53
1094,64.53
1095,64.53
1096,1498.09
1097,1498.09
1098,1498.09
1099,1498.09
1100,49.6
1101,49.6
1102,49.6
1103,49.6
1104,1075.84
1105,1075.84
1106,1075.84
1107,1075.84
1108,1067.3
1109,1067.3
1110,1067.3
1111,1067.3
1112,382.04
1113,382.04
1114,382.04
1115,382.04
1116,3380.69
1117,3380.69
1118,3380.69
1119,3380.69
1120,2271.53
1121,2271.53
1122,2271.53
1123,2271.53
1124,4293.32
1125,4293.32
1126,4293.32
1127,4293.32
1128,4432.68
1129,4432.68
1130,4432.68
1131,4432.68
1132,759.86
1133,759.86
1134,759.86
1135,759.86
1136,526.62
1137,526.62
1138,526.62
1139,526.62
1140,821.27
1141,821.27
1142,821.27
1143,821.27
1144,302.1
1145,302.1
1146,302.1
1147,302.1
1148,1483.59
1149,1483.59
1150,1483.59
1151,1483.59
1152,3271.84
1153,3271.84
1154,3271.84
1155,3271.84
1156,2198.82
1157,2198.82
1158,2198.82
1159,2198.82
1160,80.5
1161,80.5
1162,80.5
1163,80.5
1164,2321.23
1165,2321.23
1166,2321.23
1167,2321.23
1168,581.05
1169,581.05
1170,581.05
1171,581.05
1172,401.53
1173,401.53
1174,401.53
1175,401.53
1176,429.86
1177,429.86
1178,429.86
1179,429.86
1180,642.65
1181,642.65
1182,642.65
1183,642.65
1184,465.04
1185,465.04
1186,465.04
1187,465.04
1188,218.25
1189,218.25
1190,218.25
1191,218.25
1192,417.27
1193,417.27
1194,417.27
1195,417.27
1196,1306.08
1197,1306.08
1198,1306.08
1199,1306.08
1200,1315.6
1201,1315.6
1202,1315.6
1203,1315.6
1204,999.36
1205,999.36
1206,999.36
1207,999.36
1208,4935.76
1209,4935.76
1210,4935.76
1211,4935.76
1212,2024.84
1213,2024.84
1214,2024.84
1215,2024.84
1216,192.45
1217,192.45
1218,192.45
1219,192.45
1220,2560.45
1221,2560.45
1222,2560.45
1223,2560.45
1224,1740.38
1225,1740.38
1226,1740.38
1227,1740.38
1228,2128.87
1229,2128.87
1230,2128.87
1231,2128.87
1232,1574.91
1233,1574.91
1234,1574.91
1235,1574.91
1236,4182.21
1237,4182.21
1238,4182.21
1239,4182.21
1240,1078.02
1241,1078.02
1242,1078.02
1243,1078.02
1244,1352.88
1245,1352.88
1246,1352.88
1247,1352.88
1248,815.35
1249,815.35
1250,815.35
1251,815.35
1252,343.41
1253,343.41
1254,343.41
1255,343.41
1256,1274.59
1257,1274.59
1258,1274.59
1259,1274.59
1260,3825.82
1261,3825.82
1262,3825.82
1263,3825.82
1264,1247.3
1265,1247.3
1266,1247.3
1267,1247.3
1268,744.97
1269,744.97
1270,744.97
1271,744.97
1272,789.13
1273,789.13
1274,789.13
1275,789.13
1276,1033.59
1277,1033.59
1278,1033.59
1279,1033.59
1280,1122.86
1281,1122.86
1282,1122.86
1283,1122.86
1284,1404.06
1285,1404.06
1286,1404.06
1287,1404.06
1288,486.71
1289,486.71
1290,486.71
1291,486.71
1292,4833.08
1293,4833.08
1294,4833.08
1295,4833.08
1296,269.46
1297,269.46
1298,269.46
1299,269.46
1300,198.53
1301,198.53
1302,198.53
1303,198.53
1304,4701.09
1305,4701.09
1306,4701.09
1307,4701.09
1308,977.19
1309,977.19
1310,977.19
1311,977.19
1312,3403.23
1313,3403.23
1314,3403.23
1315,3403.23
1316,990.35
1317,990.35
1318,990.35
1319,990.35
1320,3520.79
1321,3520.79
1322,3520.79
1323,3520.79
1324,420.02
1325,420.02
1326,420.02
1327,420.02
1328,864.7
1329,864.7
1330,864.7
1331,864.7
1332,642.42
1333,642.42
1334,642.42
1335,642.42
1336,2909.71
1337,2909.71
1338,2909.71
1339,2909.71
1340,338.95
1341,338.95
1342,338.95
1343,338.95
1344,486.05
1345,486.05
1346,486.05
1347,486.05
1348,1383.6
1349,1383.6
1350,1383.6
1351,1383.6
1352,1340.41
1353,1340.41
1354,1340.41
1355,1340.41
1356,1446.37
1357,1446.37
1358,1446.37
1359,1446.37
1360,1498.02
1361,1498.02
1362,1498.02
1363,1498.02
1364,1494.43
1365,1494.43
1366,1494.43
1367,1494.43
1368,3247.42
1369,3247.42
1370,3247.42
1371,3247.42
1372,1263.12
1373,1263.12
1374,1263.12
1375,1263.12
1376,4183.22
1377,4183.22
1378,4183.22
1379,4183.22
1380,2575.23
1381,2575.23
1382,2575.23
1383,2575.23
1384,190.04
1385,190.04
1386,190.04
1387,190.04
1388,70.82
1389,70.82
1390,70.82
1391,70.82
1392,53.73
1393,53.73
1394,53.73
1395,53.73
1396,1269.4
1397,1269.4
1398,1269.4
1399,1269.4
1400,4879.41
1401,4879.41
1402,4879.41
1403,4879.41
1404,471.81
1405,471.81
1406,471.81
1407,471.81
1408,1177.43
1409,1177.43
1410,1177.43
1411,1177.43
1412,1158.55
1413,1158.55
1414,1158.55
1415,1158.55
1416,94.75
1417,94.75
1418,94.75
1419,94.75
1420,1777.73
1421,1777.73
1422,1777.73
1423,1777.73
1424,76.99
1425,76.99
1426,76.99
1427,76.99
1428,1696.82
1429,1696.82
1430,1696.82
1431,1696.82
1432,3154.07
1433,3154.07
1434,3154.07
1435,3154.07
1436,4145.87
1437,4145.87
1438,4145.87
1439,4145.87
1440,2031.89
1441,2031.89
1442,2031.89
1443,2031.89
1444,511.85
1445,511.85
1446,511.85
1447,511.85
1448,4659.6
1449,4659.6
1450,4659.6
1451,4659.6
1452,685.74
1453,685.74
1454,685.74
1455,685.74
1456,1343.67
1457,1343.67
1458,1343.67
1459,1343.67
1460,1330.8
1461,1330.8
1462,1330.8
1463,1330.8
1464,461.16
1465,461.16
1466,461.16
1467,461.16
1468,651.38
1469,651.38
1470,651.38
1471,651.38
1472,1124.16
1473,1124.16
1474,1124.16
1475,1124.16
1476,2019.51
1477,2019.51
1478,2019.51
1479,2019.51
1480,51.39
1481,51.39
1482,51.39
1483,51.39
1484,516.76
1485,516.76
1486,516.76
1487,516.76
1488,2758.61
1489,2758.61
1490,2758.61
1491,2758.61
1492,933.84
1493,933.84
1494,933.84
1495,933.84
1496,1297.12
1497,1297.12
1498,1297.12
1499,1297.12
1500,460.32
1501,460.32
1502,460.32
1503,460.32
1504,328.41
1505,328.41
1506,328.41
1507,328.41
1508,1042.61
1509,1042.61
1510,1042.61
1511,1042.61
1512,1230.58
1513,1230.58
1514,1230.58
1515,1230.58
1516,69.51
1517,69.51
1518,69.51
1519,69.51
1520,3085.36
1521,3085.36
1522,3085.36
1523,3085.36
1524,527.16
1525,527.16
1526,527.16
1527,527.16
1528,4813.02
1529,4813.02
1530,4813.02
1531,4813.02
1532,907.73
1533,907.73
1534,907.73
1535,907.73
1536,2526.03
1537,2526.03
1538,2526.03
1539,2526.03
1540,919.98
1541,919.98
1542,919.98
1543,919.98
1544,1355.93
1545,1355.93
1546,1355.93
1547,1355.93
1548,2638.03
1549,2638.03
1550,2638.03
1551,2638.03
1552,3525.61
1553,3525.61
1554,3525.61
1555,3525.61
1556,992.78
1557,992.78
1558,992.78
1559,992.78
1560,1472.7
1561,1472.7
1562,1472.7
1563,1472.7
1564,902.37
1565,902.37
1566,902.37
1567,902.37
1568,1967.12
1569,1967.12
1570,1967.12
1571,1967.12
1572,4198.06
1573,4198.06
1574,4198.06
1575,4198.06
1576,45.82
1577,45.82
1578,45.82
1579,45.82
1580,265.36
1581,265.36
1582,265.36
1583,265.36
1584,2770.15
1585,2770.15
1586,2770.15
1587,2770.15
1588,1990.69
1589,1990.69
1590,1990.69
1591,1990.69
1592,488.95
1593,488.95
1594,488.95
1595,488.95
1596,1270.18
1597,1270.18
1598,1270.18
1599,1270.18
1600,1353.77
1601,1353.77
1602,1353.77
1603,1353.77
1604,2674.89
1605,2674.89
1606,2674.89
1607,2674.89
1608,278.8
1609,278.8
1610,278.8
1611,278.8
1612,967.75
1613,967.75
1614,967.75
1615,967.75
1616,477.41
1617,477.41
1618,477.41
1619,477.41
1620,345.71
1621,345.71
1622,345.71
1623,345.71
1624,4523.88
1625,4523.88
1626,4523.88
1627,4523.88
1628,122.65
1629,122.65
1630,122.65
1631,122.65
1632,518.4
1633,518.4
1634,518.4
1635,518.4
1636,1636.23
1637,1636.23
1638,1636.23
1639,1636.23
1640,275.06
1641,275.06
1642,275.06
1643,275.06
1644,165.88
1645,165.88
1646,165.88
1647,165.88
1648,155.22
1649,155.22
1650,155.22
1651,155.22
1652,2544.85
1653,2544.85
1654,2544.85
1655,2544.85
1656,1203.17
1657,1203.17
1658,1203.17
1659,1203.17
1660,1286.68
1661,1286.68
1662,1286.68
1663,1286.68
1664,2328.67
1665,2328.67
1666,2328.67
1667,2328.67
1668,69.84
1669,69.84
1670,69.84
1671,69.84
1672,244.07
1673,244.07
1674,244.07
1675,244.07
1676,1751.87
1677,1751.87
1678,1751.87
1679,1751.87
1680,194.96
1681,194.96
1682,194.96
1683,194.96
1684,1073.99
1685,1073.99
1686,1073.99
1687,1073.99
1688,1103.71
1689,1103.71
1690,1103.71
1691,1103.71
1692,284.95
1693,284.95
1694,284.95
1695,284.95
1696,1426.95
1697,1426.95
1698,1426.95
1699,1426.95
1700,270.2
1701,270.2
1702,270.2
1703,270.2
1704,100.49
1705,100.49
1706,100.49
1707,100.49
1708,1485.94
1709,1485.94
1710,1485.94
1711,1485.94
1712,2305.13
1713,2305.13
1714,2305.13
1715,2305.13
1716,1100.42
1717,1100.42
1718,1100.42
1719,1100.42
1720,466.13
1721,466.13
1722,466.13
1723,466.13
1724,2628.52
1725,2628.52
1726,2628.52
1727,2628.52
1728,362.71
1729,362.71
1730,362.71
1731,362.71
1732,315.97
1733,315.97
1734,315.97
1735,315.97
1736,1050.18
1737,1050.18
1738,1050.18
1739,1050.18
1740,128.33
1741,128.33
1742,128.33
1743,128.33
1744,1272.15
1745,1272.15
1746,1272.15
1747,1272.15
1748,360.92
1749,360.92
1750,360.92
1751,360.92
1752,1163.09
1753,1163.09
1754,1163.09
1755,1163.09
1756,1116.88
1757,1116.88
1758,1116.88
1759,1116.88
1760,2688.12
1761,2688.12
1762,2688.12
1763,2688.12
1764,1109.22
1765,1109.22
1766,1109.22
1767,1109.22
1768,1138.71
1769,1138.71
1770,1138.71
1771,1138.71
1772,1215.09
1773,1215.09
1774,1215.09
1775,1215.09
1776,2073.54
1777,2073.54
1778,2073.54
1779,2073.54
1780,622.58
1781,622.58
1782,622.58
1783,622.58
1784,2603.85
1785,2603.85
1786,2603.85
1787,2603.85
1788,4073.62
1789,4073.62
1790,4073.62
1791,4073.62
1792,2259.86
1793,2259.86
1794,2259.86
1795,2259.86
1796,2106.68
1797,2106.68
1798,2106.68
1799,2106.68
1800,2828.24
1801,2828.24
1802,2828.24
1803,2828.24
1804,640.7
1805,640.7
1806,640.7
1807,640.7
1808,247.08
1809,247.08
1810,247.08
1811,247.08
1812,2404.87
1813,2404.87
1814,2404.87
1815,2404.87
1816,3969.14
1817,3969.14
1818,3969.14
1819,3969.14
1820,3322.38
1821,3322.38
1822,3322.38
1823,3322.38
1824,1439.09
1825,1439.09
1826,1439.09
1827,1439.09
1828,1657.74
1829,1657.74
1830,1657.74
1831,1657.74
1832,1178.6
1833,1178.6
1834,1178.6
1835,1178.6
1836,1290.07
1837,1290.07
1838,1290.07
1839,1290.07
1840,1330.72
1841,1330.72
1842,1330.72
1843,1330.72
1844,4474.29
1845,4474.29
1846,4474.29
1847,4474.29
1848,105.26
1849,105.26
1850,105.26
1851,105.26
1852,3078.82
1853,3078.82
1854,3078.82
1855,3078.82
1856,2931.99
1857,2931.99
1858,2931.99
1859,2931.99
1860,677.27
1861,677.27
1862,677.27
1863,677.27
1864,847.88
1865,847.88
1866,847.88
1867,847.88
1868,491.67
1869,491.67
1870,491.67
1871,491.67
1872,1336.73
1873,1336.73
1874,1336.73
1875,1336.73
1876,4270.21
1877,4270.21
1878,4270.21
1879,4270.21
1880,2266.69
1881,2266.69
1882,2266.69
1883,2266.69
1884,2521.52
1885,2521.52
1886,2521.52
1887,2521.52
1888,1400.16
1889,1400.16
1890,1400.16
1891,1400.16
1892,992.83
1893,992.83
1894,992.83
1895,992.83
1896,624.12
1897,624.12
1898,624.12
1899,624.12
1900,478.11
1901,478.11
1902,478.11
1903,478.11
1904,3566.21
1905,3566.21
1906,3566.21
1907,3566.21
1908,835.46
1909,835.46
1910,835.46
1911,835.46
1912,1170.58
1913,1170.58
1914,1170.58
1915,1170.58
1916,575.21
1917,575.21
1918,575.21
1919,575.21
1920,1134.41
1921,1134.41
1922,1134.41
1923,1134.41
1924,633.47
1925,633.47
1926,633.47
1927,633.47
1928,3957.01
1929,3957.01
1930,3957.01
1931,3957.01
1932,4586.12
1933,4586.12
1934,4586.12
1935,4586.12
1936,289.73
1937,289.73
1938,289.73
1939,289.73
1940,1273.15
1941,1273.15
1942,1273.15
1943,1273.15
1944,2138.6
1945,2138.6
1946,2138.6
1947,2138.6
1948,82.71
1949,82.71
1950,82.71
1951,82.71
1952,1710.66
1953,1710.66
1954,1710.66
1955,1710.66
1956,634.77
1957,634.77
1958,634.77
1959,634.77
1960,262.96
1961,262.96
1962,262.96
1963,262.96
1964,1436.96
1965,1436.96
1966,1436.96
1967,1436.96
1968,1252.46
1969,1252.46
1970,1252.46
1971,1252.46
1972,1495.03
1973,1495.03
1974,1495.03
1975,1495.03
1976,878.19
1977,878.19
