,Monthly_Balance
164,325.549853
165,318.2388387
166,141.730114
167,94.58915797
168,328.7746009
169,321.1399856
170,217.2658695
171,341.1447605
172,149.7114871
173,610.4119357
174,108.4776058
175,821.5411386
176,776.5436055
177,901.5032595
178,772.2368694
179,100.6686776
180,62.56969511
181,302.1074951
182,27.44035814
183,234.5554158
184,212.3699636
185,263.2822085
186,243.3462172
187,256.3916139
188,792.2255459
189,683.3500817
190,690.1509253
191,317.4527197
192,34.04007764
193,34.04007764
194,34.04007764
195,34.04007764
196,769.8441703
197,264.7716625
198,766.0822782
199,574.9258329
200,92.26209616
201,412.4146612
202,386.5269208
203,323.7584576
204,391.8123446
205,306.5029366
206,308.1308789
207,126.9071273
208,237.1026861
209,254.6384669
210,185.8508731
211,205.8698794
212,544.1493382
213,587.6350858
214,581.8078718
215,954.9413392
216,293.3902321
217,309.8261989
218,304.8244552
219,329.9972702
220,409.1962404
221,382.7950135
222,336.7970993
223,185.1265087
224,711.799466
225,758.1353631
226,296.1393852
227,792.0240583
228,16.96991963
229,16.96991963
230,16.96991963
231,16.96991963
232,495.0402863
233,457.4435754
234,474.1932862
235,461.0163
236,374.5851578
237,364.7849422
238,420.2511405
239,442.4321511
240,277.6262338
241,227.6910008
242,255.0200404
243,274.6250309
244,220.4085375
245,220.4085375
246,220.4085375
247,220.4085375
248,675.4427392
249,299.8119724
250,460.2424381
251,411.2902283
252,607.8720435
253,406.2848199
254,1064.995843
255,858.3673038
256,118.9769286
257,118.9769286
258,118.9769286
259,118.9769286
260,412.3655871
261,152.8127489
262,448.6225516
263,383.5837219
264,91.72496688
265,370.3720212
266,224.3774942
267,451.8697193
268,544.2922057
269,495.6577759
270,18.85761418
271,573.1634567
272,362.8639441
273,168.0909974
274,402.120926
275,357.3057992
276,323.700755
277,409.7447304
278,307.9295151
279,374.9755
280,981.3169235
281,1099.56766
282,814.698571
283,668.8526313
284,355.570004
285,245.4349943
286,289.3487835
287,303.9212372
288,241.3514068
289,321.7211497
290,286.094605
291,239.2208682
292,298.611754
293,278.8497244
294,275.4228428
295,261.4003031
296,609.8845601
297,300.5001619
298,626.8058285
299,764.8179989
300,162.9106485
301,386.8005226
302,332.9362731
303,407.2393282
304,485.8747003
305,466.2500648
306,457.5205307
307,360.6644121
308,232.3600477
309,232.3600477
310,232.3600477
311,232.3600477
312,347.9490892
313,312.3959041
314,338.3222703
315,359.6532124
316,35.18313271
317,35.18313271
318,35.18313271
319,35.18313271
320,230.561545
321,331.8736793
322,236.0039054
323,264.1625226
324,504.3199681
325,889.2571791
326,851.5028627
327,914.5291328
328,357.7260676
329,362.2090816
330,335.5247697
331,287.3857054
332,988.3382196
333,863.4032254
334,726.6023109
335,876.32111
336,281.9710088
337,413.0504588
338,409.0888094
339,245.2446726
340,308.9135178
341,215.1278866
342,275.229886
343,254.0664844
344,192.1188281
345,192.1188281
346,192.1188281
347,192.1188281
348,335.6379311
349,313.7147547
350,278.209179
351,324.6204839
352,324.5010356
353,381.0297452
354,238.6592379
355,231.3860495
356,342.4322938
357,364.9568629
358,390.9270046
359,358.861078
360,1246.417112
361,1182.044044
362,680.1722665
363,947.8623459
364,350.5698499
365,377.2855135
366,312.8874703
367,376.0262823
368,211.2512958
369,394.7749454
370,415.3186522
371,276.6712119
372,385.2188265
373,316.7097799
374,372.022515
375,293.0354106
376,297.3562649
377,274.4433736
378,258.1884543
379,279.429715
380,217.8488512
381,217.8488512
382,217.8488512
383,217.8488512
384,177.4672166
385,405.3047818
386,437.3694036
387,458.6766084
388,72.87980133
389,72.87980133
390,72.87980133
391,72.87980133
392,777.0403344
393,497.3987964
394,143.3434873
395,707.110225
396,313.647919
397,195.3327106
398,286.5203916
399,296.0184968
400,586.0437858
401,395.2512246
402,701.7237103
403,288.9412612
404,802.6140919
405,853.5933191
406,293.3930224
407,886.5407562
408,358.1962805
409,358.1962805
410,358.1962805
411,358.1962805
412,431.280813
413,226.562787
414,259.9247281
415,431.7076713
416,155.5357192
417,378.9079034
418,380.2713183
419,254.6672499
420,187.573783
421,380.3782403
422,402.0236562
423,354.2620136
424,691.984488
425,762.0775891
426,613.09172
427,493.9632453
428,191.1225517
429,378.5805531
430,267.7868352
431,351.9775728
432,369.9597385
433,483.7375292
434,459.5885207
435,492.2679262
436,263.1014761
437,336.963282
438,352.3346408
439,320.3915105
440,365.0065728
441,371.9990983
442,252.8555205
443,351.1528769
444,367.848977
445,352.9312404
446,357.8966049
447,223.0913965
448,383.4734006
449,521.9393009
450,507.9756881
451,374.5120693
452,463.0633098
453,476.6001321
454,328.8706219
455,429.62414
456,405.6355536
457,420.4182482
458,391.7377901
459,278.0774896
460,1151.775814
461,1060.63546
462,514.1865542
463,825.1913128
464,299.18151
465,244.4007819
466,334.5060044
467,206.4148561
468,248.052991
469,193.5655263
470,219.7470508
471,247.7687525
472,180.6568147
473,180.6568147
474,180.6568147
475,180.6568147
476,807.8612168
477,848.7079367
478,854.4104677
479,533.813642
480,150.0204968
481,354.5135955
482,348.1915909
483,326.7750863
484,307.1963625
485,270.7337259
486,298.8888065
487,190.0725522
488,230.5669567
489,337.2534752
490,331.4068131
491,346.8411812
492,580.9263475
493,550.0198338
494,933.282565
495,321.2502969
496,619.4837245
497,93.23443029
498,596.7028591
499,500.8267929
500,261.2037082
501,291.9308688
502,269.3918428
503,287.9690846
504,295.7743616
505,275.121452
506,326.8675425
507,371.7687465
508,357.2306038
509,954.3615381
510,1072.055962
511,304.8833574
512,955.4452247
513,648.0303136
514,366.2888173
515,655.5344831
516,256.1003489
517,265.6529492
518,407.0448281
519,220.1736372
520,341.8092155
521,188.0353813
522,361.1818238
523,251.0717236
524,430.7445823
525,483.6908844
526,452.8719247
527,467.7984105
528,315.4075436
529,320.9929337
530,302.6932039
531,290.8533603
532,269.3630119
533,225.2425382
534,295.0947171
535,305.6759318
536,191.2842083
537,275.658018
538,406.4371516
539,366.2449835
540,242.5628661
541,276.1908233
542,257.513994
543,303.1890718
544,389.3704018
545,997.4209671
546,396.9842124
547,425.9219166
548,222.4557808
549,222.4557808
550,222.4557808
551,222.4557808
552,229.4818185
553,246.1377869
554,243.2020339
555,355.5191553
556,760.1852573
557,736.3420572
558,596.8464022
559,670.7828265
560,481.2142226
561,483.6016546
562,303.7898043
563,315.6869168
564,384.0482622
565,318.942329
566,301.1713733
567,406.696393
568,441.8497753
569,442.0929702
570,346.7778178
571,381.4687671
572,303.1685197
573,288.8089703
574,273.4336968
575,225.4289405
576,48.85846694
577,48.85846694
578,48.85846694
579,48.85846694
580,437.314106
581,384.8429777
582,441.5070951
583,393.2754375
584,372.9247741
585,366.2748739
586,358.8536529
587,394.3657325
588,268.557551
589,208.0278664
590,295.2039906
591,350.8561771
592,722.5577567
593,691.0597816
594,738.0019562
595,302.1872723
596,286.024799
597,206.2776722
598,101.211761
599,249.2887129
600,403.2303435
601,400.0970476
602,360.9222091
603,356.9152277
604,455.5614412
605,472.5527146
606,157.5513457
607,591.555233
608,40.20749636
609,282.6236327
610,210.78947
611,368.2202465
612,360.2009268
613,442.1565621
614,421.1655035
615,225.0944506
616,373.7144097
617,374.2339649
618,421.9491566
619,336.0907192
620,393.9492218
621,376.4682814
622,387.0703034
623,390.3786558
624,331.6272127
625,290.9476452
626,359.2386569
627,276.5554219
628,304.3354413
629,254.6615323
630,334.5748446
631,209.932453
632,789.7711864
633,494.0035882
634,676.0262233
635,676.0248073
636,270.7446771
637,287.209456
638,277.519466
639,269.086754
640,357.6225459
641,347.4799751
642,348.5518403
643,246.7776756
644,261.6749259
645,304.1755677
646,236.9544446
647,241.6619502
648,233.7513173
649,299.2271851
650,189.6993483
651,192.1390138
652,564.8983525
653,500.1984638
654,571.0010049
655,607.7579402
656,251.7559802
657,279.2261024
658,267.5140746
659,263.0870606
660,698.5646344
661,677.5305272
662,251.8704559
663,505.9766489
664,304.9401001
665,253.2500228
666,211.4485186
667,316.1410949
668,209.3950834
669,209.3950834
670,209.3950834
671,209.3950834
672,319.8084392
673,445.282641
674,396.4333443
675,183.7553181
676,278.2947367
677,302.5507067
678,284.4435057
679,274.285855
680,537.6322142
681,455.4505136
682,491.2803153
683,176.4872978
684,240.2850386
685,292.8594527
686,279.610071
687,244.2595327
688,815.0766081
689,798.9368141
690,618.0491655
691,754.9929939
692,799.1151741
693,747.6839155
694,621.9938534
695,534.3001073
696,316.225366
697,304.4537471
698,270.8886607
699,318.4988549
700,238.7578204
701,204.8365023
702,289.6345805
703,256.2428213
704,270.9848364
705,305.2211953
706,260.0884688
707,265.9156529
708,346.1363004
709,294.1300904
710,311.2659355
711,247.7459494
712,354.8510306
713,354.8510306
714,354.8510306
715,354.8510306
716,343.3439052
717,376.8839655
718,395.5483574
719,489.5174449
720,198.600766
721,593.7624725
722,901.3187663
723,767.8665844
724,370.2621001
725,342.5116256
726,288.019888
727,374.9543064
728,652.7919837
729,272.6975593
730,528.4318151
731,451.7484218
732,315.4077536
733,252.9280308
734,309.943638
735,310.1479427
736,144.8334499
737,118.4429042
738,492.7840639
739,458.3069627
740,697.6027097
741,187.8761236
742,474.550407
743,709.0734041
744,274.13073
745,279.2084506
746,282.7089958
747,257.6055392
748,1273.716809
749,136.2656218
750,1142.66856
751,1145.80146
752,169.506764
753,197.0524862
754,199.6784149
755,327.6169238
756,339.7689375
757,330.2039475
758,295.8248735
759,251.5270358
760,257.6428009
761,20.33731838
762,520.2312014
763,410.1497745
764,580.6739596
765,904.0297159
766,628.5223901
767,1030.37461
768,220.8415768
769,297.5810291
770,291.1035816
771,297.1882619
772,552.3955999
773,332.9404252
774,355.4344228
775,968.4231793
776,338.4526001
777,283.3917653
778,393.8490391
779,198.8640532
780,173.2532058
781,279.9317883
782,405.3882202
783,363.6885367
784,413.3915561
785,406.3897132
786,370.617557
787,391.82085
788,85.43971283
789,85.43971283
790,85.43971283
791,85.43971283
792,438.5064331
793,419.6968644
794,365.1441773
795,325.6545271
796,516.9539471
797,793.6532301
798,536.9807929
799,837.0490016
800,350.9355518
801,285.8027116
802,317.125302
803,283.3958973
804,494.6592676
805,450.5430833
806,495.6999362
807,387.1959323
808,155.523868
809,155.523868
810,155.523868
811,155.523868
812,257.1545405
813,279.2372871
814,248.3224738
815,281.9584567
816,250.4036052
817,292.8681001
818,367.8598847
819,317.7750832
820,353.9133659
821,159.0434738
822,86.5930311
823,1036.833173
824,292.1554682
825,315.4318621
826,336.9790361
827,277.1152181
828,66.17334758
829,818.4184606
830,625.5234514
831,745.2234387
832,349.580824
833,317.6888432
834,326.6452597
835,321.407618
836,343.0841753
837,142.0883761
838,368.8075032
839,346.7943033
840,780.6257726
841,523.439621
842,848.571893
843,765.22675
844,643.640456
845,826.967006
846,800.6639205
847,978.0694695
848,261.6005519
849,292.1310773
850,292.7984505
851,280.5557551
852,360.4847574
853,390.6873447
854,388.7392098
855,386.8265277
856,275.9364814
857,262.5351536
858,256.7906415
859,273.8235529
860,455.3983324
861,389.5117327
862,449.9353216
863,420.935912
864,1021.238113
865,691.8229233
866,1152.02363
867,719.5070281
868,207.6923884
869,229.1061542
870,253.264029
871,183.350467
872,105.1514697
873,327.9100122
874,409.2676793
875,326.3055659
876,270.6735839
877,261.7035687
878,280.191961
879,275.4700223
880,339.5025905
881,245.6248245
882,142.5285457
883,371.0712729
884,394.0369534
885,309.1406444
886,375.9459177
887,313.9102965
888,335.6868343
889,346.2792872
890,346.0048229
891,247.6734322
892,574.3132835
893,179.3849419
894,433.5550441
895,342.2013732
896,248.1146114
897,278.9629477
898,264.1642111
899,246.4294319
900,277.7874925
901,252.6149813
902,294.7472454
903,285.6784769
904,293.7926308
905,399.6767825
906,377.6703275
907,384.0308958
908,434.4644121
909,333.581529
910,360.5396322
911,449.0400575
912,188.9508917
913,188.9508917
914,188.9508917
915,188.9508917
916,422.9870148
917,339.8058625
918,319.7686308
919,439.7899202
920,514.2728624
921,441.4699209
922,268.1885376
923,488.4392902
924,161.3973137
925,161.3973137
926,161.3973137
927,161.3973137
928,561.8061884
929,350.4858905
930,383.8284888
931,364.3235615
932,455.809664
933,428.6705865
934,461.6851682
935,438.0653011
936,367.2028557
937,481.5396774
938,364.0916295
939,322.2871855
940,258.8446893
941,257.2406181
942,230.6087279
943,261.3241673
944,539.516701
945,527.1631396
946,390.6865184
947,465.5471575
948,310.3430246
949,245.7868441
950,275.7790936
951,251.9392854
952,305.8734364
953,330.9831272
954,335.8468833
955,292.8378352
956,152.1348491
957,511.1780052
958,521.3794377
959,564.2230172
960,251.3349107
961,137.2432431
962,223.2921421
963,231.2832457
964,271.1193114
965,282.6372681
966,278.3513225
967,250.3219935
968,351.2143456
969,278.5709772
970,324.381643
971,299.5973902
972,714.4110101
973,763.8291031
974,483.9070555
975,605.9263428
976,278.016901
977,168.9919594
978,363.9862
979,316.4648782
980,264.7835448
981,176.4114806
982,442.0426168
983,305.0038081
984,49.41412237
985,49.41412237
986,49.41412237
987,49.41412237
988,246.4939839
989,378.2203177
990,326.0293313
991,358.3059359
992,511.8927431
993,497.9207073
994,314.933544
995,126.1818706
996,216.5402403
997,236.5825439
998,246.2385307
999,275.0975768
1000,65.21935711
1001,673.8858733
1002,703.2361511
1003,854.8562576
1004,410.9012098
1005,408.3034576
1006,311.6070137
1007,227.0253264
1008,548.0156449
1009,626.7415712
1010,400.699606
1011,264.5553459
1012,264.9146457
1013,280.9999853
1014,316.3372865
1015,280.960244
1016,357.2568417
1017,351.7291671
1018,299.3093258
1019,323.0198933
1020,124.6626926
1021,124.6626926
1022,124.6626926
1023,124.6626926
1024,268.7921594
1025,255.3904006
1026,277.7063843
1027,280.188099
1028,239.4268553
1029,427.4164257
1030,432.6909577
1031,416.5640099
1032,381.9279054
1033,330.908433
1034,318.4119152
1035,270.6554917
1036,288.0655469
1037,384.9997179
1038,378.062643
1039,316.1357484
1040,382.9024018
1041,452.0135907
1042,241.6812653
1043,317.438641
1044,310.395744
1045,302.598484
1046,298.2719025
1047,286.4828684
1048,141.0091576
1049,200.3821678
1050,237.8152457
1051,267.1011079
1052,278.1003943
1053,545.712188
1054,321.1661772
1055,637.420461
1056,387.8771091
1057,220.7715619
1058,374.4073116
1059,159.3056223
1060,347.2283169
1061,409.8548901
1062,376.3737687
1063,425.3186831
1064,346.8541422
1065,318.5274838
1066,313.4796187
1067,252.9297183
1068,496.7824777
1069,459.293158
1070,513.9044107
1071,280.3195759
1072,87.27790908
1073,87.27790908
1074,87.27790908
1075,87.27790908
1076,441.5116154
1077,335.260841
1078,307.7641553
1079,427.069096
1080,420.9857438
1081,168.3606892
1082,446.6496231
1083,420.1492413
1084,220.8667114
1085,292.9906369
1086,194.0197873
1087,280.6368384
1088,279.7339878
1089,263.6684601
1090,253.1234527
1091,275.7524055
1092,476.017038
1093,507.9187338
1094,492.3521434
1095,446.1945126
1096,353.3237677
1097,335.2995252
1098,441.051237
1099,268.621818
1100,757.6811977
1101,655.6807523
1102,746.6074586
1103,714.0957056
1104,416.8565582
1105,860.4163062
1106,203.2766003
1107,297.6504551
1108,438.040789
1109,257.7782661
1110,213.4415645
1111,396.3984471
1112,779.5346921
1113,490.0298404
1114,1133.144876
1115,1141.25635
1116,220.180078
1117,147.7877101
1118,170.5071097
1119,224.2033439
1120,283.3844276
1121,258.1547294
1122,229.063946
1123,296.4621762
1124,14.0301294
1125,14.0301294
1126,14.0301294
1127,14.0301294
1128,146.9310933
1129,195.8168043
1130,229.0689984
1131,231.5503813
1132,315.509689
1133,237.6985223
1134,315.7599193
1135,295.5806935
1136,231.6644605
1137,491.1474109
1138,433.9777565
1139,512.0026385
1140,550.1161488
1141,512.8381123
1142,195.39217
1143,482.7174394
1144,446.3273675
1145,501.1019577
1146,421.1062458
1147,197.3317739
1148,338.5911645
1149,316.5343038
1150,309.8365879
1151,351.6820349
1152,323.3858872
1153,151.3631093
1154,355.5612281
1155,373.9986083
1156,255.5036469
1157,250.5986176
1158,305.8473502
1159,291.0536701
1160,501.048962
1161,155.0288673
1162,611.0349666
1163,620.3094976
1164,533.497098
1165,198.8119648
1166,502.6742149
1167,438.8636379
1168,254.4275534
1169,212.0878062
1170,387.5263518
1171,268.0069968
1172,227.3848765
1173,215.797136
1174,392.306525
1175,373.3467334
1176,316.4671046
1177,316.4671046
1178,316.4671046
1179,316.4671046
1180,144.8182531
1181,144.8182531
1182,144.8182531
1183,144.8182531
1184,377.7517822
1185,355.218126
1186,338.5788502
1187,363.3199629
1188,0.908145844
1189,0.908145844
1190,0.908145844
1191,0.908145844
1192,501.3764953
1193,540.9254577
1194,363.2748237
1195,501.4680894
1196,286.6326366
1197,282.6122703
1198,263.0831561
1199,289.7880659
1200,367.2286539
1201,402.887242
1202,583.0147083
1203,402.1095129
1204,847.8068223
1205,850.8930783
1206,747.2994504
1207,299.9168006
1208,441.5027881
1209,283.3636753
1210,354.0149418
1211,315.5447914
1212,638.19631
1213,527.4250135
1214,665.7928295
1215,546.6454814
1216,98.07837174
1217,98.07837174
1218,98.07837174
1219,98.07837174
1220,292.5453738
1221,99.98458494
1222,234.8849618
1223,223.1312424
1224,441.8850518
1225,454.4792022
1226,249.8487879
1227,358.4996357
1228,186.3521003
1229,186.3521003
1230,186.3521003
1231,186.3521003
1232,314.2823343
1233,258.1745134
1234,299.5284733
1235,279.4080197
1236,297.9696951
1237,242.7948233
1238,256.4132056
1239,245.848878
1240,419.4223343
1241,568.995349
1242,587.6232373
1243,308.238844
1244,338.8020028
1245,330.2132923
1246,263.8853243
1247,248.6057847
1248,563.0073716
1249,548.2411816
1250,608.8709231
1251,648.5383178
1252,292.9623581
1253,274.7492227
1254,282.8183632
1255,277.0255101
1256,410.2132894
1257,513.8427855
1258,197.6077163
1259,195.7193762
1260,359.5194031
1261,98.4698139
1262,144.8455046
1263,108.334685
1264,304.4317026
1265,361.611997
1266,374.7719909
1267,246.48678
1268,272.4576928
1269,1049.279224
1270,856.5052426
1271,898.1490622
1272,1108.150897
1273,1265.544478
1274,1385.623087
1275,1131.210519
1276,505.9612204
1277,551.6487429
1278,633.8199805
1279,925.6874783
1280,232.6095577
1281,264.8317812
1282,334.5890337
1283,306.8351951
1284,216.2745234
1285,370.9637511
1286,200.0356288
1287,385.2094478
1288,282.0237098
1289,331.7834864
1290,591.7534119
1291,299.7872943
1292,232.0005369
1293,256.0108779
1294,239.8538017
1295,216.2428851
1296,1101.769523
1297,381.0019775
1298,865.2786162
1299,650.8711377
1300,594.4562809
1301,193.1067256
1302,633.1477977
1303,350.8987022
1304,150.7336433
1305,150.7336433
1306,150.7336433
1307,150.7336433
1308,351.1376574
1309,351.1376574
1310,351.1376574
1311,351.1376574
1312,61.38328711
1313,61.38328711
1314,61.38328711
1315,61.38328711
1316,337.8055613
1317,281.6033511
1318,287.0056667
1319,329.4033648
1320,168.6613294
1321,166.3089659
1322,238.8400976
1323,224.2509585
1324,87.28171557
1325,87.28171557
1326,87.28171557
1327,87.28171557
1328,279.3026501
1329,244.3247295
1330,257.1180415
1331,254.922795
1332,293.1290369
1333,316.231918
1334,345.9029367
1335,322.4881877
1336,266.8480996
1337,298.377306
1338,288.2586787
1339,296.5132018
1340,352.2845236
1341,856.5574149
1342,897.6460662
1343,735.0771193
1344,266.4905796
1345,240.4743222
1346,326.3329269
1347,241.8831339
1348,0.773860131
1349,1127.617959
1350,1117.970855
1351,1284.66031
1352,448.1784583
1353,353.9285868
1354,438.1758413
1355,319.3327542
1356,441.5280365
1357,673.3187438
1358,422.7907358
1359,503.5708769
1360,280.4373714
1361,344.2757507
1362,396.7385033
1363,303.1581113
1364,99.79467265
1365,99.79467265
1366,99.79467265
1367,99.79467265
1368,167.2121665
1369,234.71856
1370,283.6007517
1371,269.0515764
1372,226.11864
1373,454.8597674
1374,453.1520777
1375,554.4937012
1376,291.9435771
1377,311.1059996
1378,320.6284565
1379,310.5574543
1380,228.6354275
1381,227.8196279
1382,164.4092799
1383,256.3502071
1384,398.580474
1385,495.1083236
1386,533.8676849
1387,304.3630725
1388,141.0290597
1389,331.2878652
1390,305.2606053
1391,264.7302738
1392,453.8650779
1393,801.4201142
1394,382.1065134
1395,258.6906548
1396,504.7470505
1397,759.3094521
1398,822.8836321
1399,696.9031547
1400,184.9227058
1401,184.9227058
1402,184.9227058
1403,184.9227058
1404,240.8254752
1405,276.4590158
1406,227.0150679
1407,306.1355433
1408,340.9351082
1409,403.3805151
1410,425.8200524
1411,402.5602139
1412,413.9320964
1413,442.3956782
1414,429.2246442
1415,456.935455
1416,393.2669399
1417,368.4009413
1418,346.3242308
1419,387.8708178
1420,618.1614878
1421,505.4193756
1422,73.67901389
1423,257.2835574
1424,725.3067939
1425,915.6872655
1426,700.2454335
1427,846.3044575
1428,320.3525023
1429,322.7568545
1430,305.7503498
1431,274.1438221
1432,234.3276851
1433,241.8595391
1434,302.100735
1435,262.6289102
1436,276.0905572
1437,147.4079552
1438,247.0444219
1439,270.6082587
1440,296.6312601
1441,319.1531366
1442,194.9291335
1443,231.6226766
1444,380.2812104
1445,381.8078131
1446,465.6175138
1447,444.4778766
1448,173.0225821
1449,250.7477082
1450,279.1235172
1451,178.9034792
1452,311.2350678
1453,298.8262021
1454,340.2489881
1455,301.3624154
1456,412.8774398
1457,393.6948328
1458,318.9290802
1459,344.1293638
1460,551.9785882
1461,589.2490954
1462,592.2792638
1463,246.3800812
1464,1427.733144
1465,1425.345134
1466,636.2470702
1467,1482.648814
1468,574.6812605
1469,497.2150433
1470,382.2112132
1471,626.6987218
1472,271.0821703
1473,351.3124591
1474,326.9204048
1475,284.5867596
1476,519.1211375
1477,510.500013
1478,517.0346984
1479,530.0294271
1480,198.7618191
1481,257.9219357
1482,630.7504145
1483,627.6023074
1484,301.6444497
1485,272.9861612
1486,314.638358
1487,359.6261212
1488,284.153977
1489,277.1708608
1490,259.1249095
1491,292.225013
1492,1214.993612
1493,921.2569268
1494,1122.130791
1495,909.6470265
1496,223.5699002
1497,285.2632977
1498,238.4121407
1499,329.6469712
1500,436.4048817
1501,382.7173069
1502,337.085839
1503,449.7828933
1504,268.2355362
1505,317.5041187
1506,258.318419
1507,335.2520297
1508,354.6303711
1509,308.624158
1510,229.651497
1511,200.6576966
1512,588.2002684
1513,438.5871545
1514,525.915968
1515,553.9161891
1516,376.5529432
1517,322.7053364
1518,291.644997
1519,329.5237988
1520,144.9099939
1521,144.9099939
1522,144.9099939
1523,144.9099939
1524,232.6051534
1525,232.6051534
1526,232.6051534
1527,232.6051534
1528,253.4039822
1529,253.8005969
1530,214.4573975
1531,242.76824
1532,440.5755167
1533,259.1071974
1534,458.0778829
1535,386.2217708
1536,263.677368
1537,275.7200149
1538,268.8953951
1539,223.673377
1540,307.2546423
1541,323.5883331
1542,274.433079
1543,302.3582928
1544,1183.930696
1545,1183.930696
1546,1183.930696
1547,1183.930696
1548,443.1856111
1549,523.4275393
1550,396.9645849
1551,365.5022483
1552,279.2255668
1553,289.1916138
1554,270.4819487
1555,261.0674341
1556,270.3836616
1557,382.436561
1558,336.7597938
1559,345.8099724
1560,284.0145903
1561,416.3569507
1562,363.9394208
1563,244.7043237
1564,278.2351467
1565,715.8285178
1566,416.52129
1567,686.2724346
1568,194.4859626
1569,277.0178317
1570,198.8548128
1571,281.6280596
1572,43.15340659
1573,43.15340659
1574,43.15340659
1575,43.15340659
1576,231.8904584
1577,255.7164032
1578,273.2681375
1579,231.087606
1580,316.3271902
1581,305.457868
1582,252.150794
1583,255.0257436
1584,315.4673311
1585,380.3257621
1586,329.1780039
1587,344.4241656
1588,269.7418432
1589,248.3376161
1590,288.1733756
1591,232.9495138
1592,1290.13904
1593,860.7347263
1594,1148.632989
1595,1162.914983
1596,349.900242
1597,227.0246818
1598,110.4664392
1599,388.8144806
1600,284.4654039
1601,303.0749926
1602,292.0554721
1603,311.4129842
1604,241.971395
1605,282.7360246
1606,257.5008057
1607,275.745176
1608,804.5645549
1609,727.6015229
1610,512.550856
1611,571.0551036
1612,293.948299
1613,468.8588039
1614,494.2072488
1615,464.467899
1616,854.6780024
1617,864.528717
1618,785.3498962
1619,811.9534514
1620,522.9656629
1621,454.7820706
1622,536.3068501
1623,215.2729509
1624,48.05009316
1625,48.05009316
1626,48.05009316
1627,48.05009316
1628,410.7364185
1629,662.673992
1630,51.82089976
1631,681.8289476
1632,1208.412866
1633,1027.758374
1634,1125.207646
1635,1086.003954
1636,259.1455729
1637,257.2628763
1638,245.7751958
1639,252.8490083
1640,326.8769162
1641,270.7532417
1642,309.8255663
1643,317.2634397
1644,245.1172414
1645,280.060149
1646,269.2397834
1647,312.0347716
1648,296.2317067
1649,332.4307902
1650,289.2225088
1651,381.6734987
1652,33.56310869
1653,33.56310869
1654,33.56310869
1655,33.56310869
1656,357.6775949
1657,336.0763876
1658,243.0759727
1659,289.2251754
1660,319.7984567
1661,411.7744551
1662,273.1432734
1663,410.3088837
1664,344.3766549
1665,398.0257086
1666,394.0308267
1667,186.0472231
1668,347.8499349
1669,393.5246883
1670,371.7566612
1671,359.6515637
1672,654.2795734
1673,517.3010168
1674,761.2922571
1675,511.9367542
1676,110.7316664
1677,110.7316664
1678,110.7316664
1679,110.7316664
1680,1006.102654
1681,937.433488
1682,677.8408948
