,Annual_Income
680,64036.88
681,64036.88
682,64036.88
683,64036.88
684,9783.245
685,9783.245
686,9783.245
687,9783.245
688,86522.72
689,86522.72
690,86522.72
691,86522.72
692,124419.66
693,124419.66
694,
695,124419.66
696,15606.515
697,15606.515
698,15606.515
699,15606.515
700,28230.92
701,28230.92
702,28230.92
703,28230.92
704,10623.765
705,10623.765
706,10623.765
707,10623.765
708,11970.955
709,11970.955
710,
711,11970.955
712,112362.76
713,112362.76
714,112362.76
715,112362.76
716,33335.24
717,33335.24
718,33335.24
719,33335.24
720,131577.84
721,131577.84
722,131577.84
723,131577.84
724,32314.44
725,32314.44
726,32314.44
727,32314.44
728,61235.6
729,61235.6
730,61235.6
731,61235.6
732,19078.93
733,19078.93
734,19078.93
735,19078.93
736,83703.52
737,83703.52
738,83703.52
739,83703.52
740,99127.04
741,99127.04
742,99127.04
743,99127.04
744,10405.01
745,10405.01
746,10405.01
747,10405.01
748,135895.96
749,135895.96
750,135895.96
751,135895.96
752,29608.46
753,29608.46
754,29608.46
755,29608.46
756,
757,29999.94
758,29999.94
759,29999.94
760,
761,52972.5
762,52972.5
763,52972.5
764,113781.39
765,113781.39
766,113781.39
767,113781.39
768,15746.63
769,15746.63
770,15746.63
771,15746.63
772,97961.96
773,97961.96
774,97961.96
775,97961.96
776,31895.07
777,31895.07
778,31895.07
779,31895.07
780,30922.28
781,30922.28
782,30922.28
783,30922.28
784,25530.33
785,25530.33
786,25530.33
787,
788,110786.64
789,110786.64
790,110786.64
791,110786.64
792,39696.98
793,39696.98
794,
795,39696.98
796,120366.6
797,120366.6
798,120366.6
799,120366.6
800,13074.395
801,13074.395
802,13074.395
803,13074.395
804,76087.68
805,76087.68
806,76087.68
807,
808,51824.94
809,51824.94
810,51824.94
811,51824.94
812,11431.775
813,11431.775
814,11431.775
815,11431.775
816,14224.655
817,14224.655
818,14224.655
819,
820,142170.12
821,142170.12
822,142170.12
823,142170.12
824,19951.765
825,19951.765
826,19951.765
827,19951.765
828,94454.1
829,94454.1
830,94454.1
831,94454.1
832,
833,27063.43
834,27063.43
835,
836,36980.1
837,36980.1
838,
839,36980.1
840,96582.24
841,96582.24
842,96582.24
843,96582.24
844,122978.43
845,122978.43
846,122978.43
847,122978.43
848,7821.24
849,7821.24
850,7821.24
851,7821.24
852,30972.54
853,30972.54
854,30972.54
855,30972.54
856,
857,7709.625
858,7709.625
859,7709.625
860,34547.54
861,34547.54
862,34547.54
863,34547.54
864,173196.32
865,173196.32
866,173196.32
867,173196.32
868,20354.85
869,20354.85
870,20354.85
871,20354.85
872,46113.81
873,46113.81
874,46113.81
875,46113.81
876,8882.47
877,8882.47
878,8882.47
879,8882.47
880,34128.92
881,34128.92
882,34128.92
883,34128.92
884,29042.45
885,29042.45
886,
887,29042.45
888,26716.09
889,26716.09
890,26716.09
891,26716.09
892,74733.44
893,74733.44
894,74733.44
895,74733.44
896,8681.77
897,8681.77
898,8681.77
899,8681.77
900,10034.55
901,10034.55
902,10034.55
903,10034.55
904,20540.49
905,20540.49
906,20540.49
907,
908,38175.39
909,38175.39
910,38175.39
911,38175.39
912,116594.91
913,
914,116594.91
915,116594.91
916,24894.05
917,24894.05
918,24894.05
919,24894.05
920,39399.9
921,39399.9
922,39399.9
923,39399.9
924,142113.96
925,142113.96
926,142113.96
927,142113.96
928,65299.38
929,65299.38
930,65299.38
931,65299.38
932,33200.52
933,33200.52
934,33200.52
935,33200.52
936,82289.36
937,82289.36
938,82289.36
939,82289.36
940,7792.475
941,7792.475
942,7792.475
943,7792.475
944,65778.22
945,
946,65778.22
947,65778.22
948,12016.0
949,12016.0
950,12016.0
951,12016.0
952,
953,19180.87
954,19180.87
955,19180.87
956,60552.76
957,60552.76
958,60552.76
959,60552.76
960,44386.47
961,44386.47
962,
963,44386.47
964,9141.63
965,9141.63
966,9141.63
967,9141.63
968,11245.11
969,11245.11
970,11245.11
971,11245.11
972,98197.74
973,98197.74
974,98197.74
975,98197.74
976,
977,30197.28
978,30197.28
979,30197.28
980,31633.54
981,31633.54
982,31633.54
983,31633.54
984,118172.64
985,
986,118172.64
987,118172.64
988,19623.18
989,19623.18
990,19623.18
991,19623.18
992,63197.26
993,63197.26
994,63197.26
995,63197.26
996,10007.815
997,10007.815
998,10007.815
999,10007.815
1000,121688.04
1001,121688.04
1002,121688.04
1003,121688.04
1004,31069.32
1005,31069.32
1006,31069.32
1007,31069.32
1008,72241.02
1009,72241.02
1010,72241.02
1011,72241.02
1012,7612.725
1013,7612.725
1014,7612.725
1015,7612.725
1016,16953.985
1017,16953.985
1018,16953.985
1019,16953.985
1020,125508.36
1021,125508.36
1022,125508.36
1023,125508.36
1024,7495.305
1025,7495.305
1026,7495.305
1027,7495.305
1028,35133.49
1029,
1030,35133.49
1031,35133.49
1032,16866.5
1033,16866.5
1034,16866.5
1035,16866.5
1036,18969.19
1037,18969.19
1038,18969.19
1039,18969.19
1040,36154.19
1041,36154.19
1042,36154.19
1043,36154.19
1044,51113.85
1045,51113.85
1046,51113.85
1047,51113.85
1048,18784.88
1049,18784.88
1050,18784.88
1051,18784.88
1052,49889.38
1053,49889.38
1054,49889.38
1055,49889.38
1056,29233.34
1057,29233.34
1058,29233.34
1059,29233.34
1060,28922.03
1061,28922.03
1062,28922.03
1063,28922.03
1064,20742.46
1065,20742.46
1066,20742.46
1067,20742.46
1068,55719.18
1069,55719.18
1070,
1071,55719.18
1072,55558.71
1073,55558.71
1074,55558.71
1075,55558.71
1076,33447.42
1077,33447.42
1078,33447.42
1079,33447.42
1080,34841.87
1081,34841.87
1082,
1083,34841.87
1084,17655.43
1085,17655.43
1086,17655.43
1087,17655.43
1088,7103.035
1089,7103.035
1090,7103.035
1091,7103.035
1092,63101.14
1093,63101.14
1094,63101.14
1095,63101.14
1096,33453.08
1097,33453.08
1098,33453.08
1099,33453.08
1100,83845.7
1101,
1102,83845.7
1103,
1104,108415.0
1105,108415.0
1106,108415.0
1107,
1108,32663.41
1109,32663.41
1110,
1111,
1112,132537.24
1113,132537.24
1114,132537.24
1115,132537.24
1116,17850.56
1117,17850.56
1118,17850.56
1119,17850.56
1120,15713.83
1121,15713.83
1122,15713.83
1123,15713.83
1124,62050.89
1125,62050.89
1126,62050.89
1127,62050.89
1128,18744.4
1129,18744.4
1130,18744.4
1131,18744.4
1132,12070.845
1133,12070.845
1134,12070.845
1135,12070.845
1136,38539.57
1137,38539.57
1138,38539.57
1139,38539.57
1140,
1141,48411.24
1142,48411.24
1143,48411.24
1144,47275.96
1145,47275.96
1146,47275.96
1147,47275.96
1148,30232.28
1149,30232.28
1150,30232.28
1151,30232.28
1152,
1153,33314.96
1154,33314.96
1155,33314.96
1156,7599.035
1157,7599.035
1158,7599.035
1159,7599.035
1160,97640.4
1161,97640.4
1162,97640.4
1163,97640.4
1164,75881.16
1165,75881.16
1166,75881.16
1167,75881.16
1168,36490.98
1169,36490.98
1170,36490.98
1171,36490.98
1172,30743.6
1173,30743.6
1174,30743.6
1175,30743.6
1176,
1177,177150.4
1178,177150.4
1179,177150.4
1180,110264.0
1181,
1182,110264.0
1183,110264.0
1184,32128.24
1185,32128.24
1186,
1187,32128.24
1188,151722.56
1189,151722.56
1190,151722.56
1191,151722.56
1192,62316.63
1193,62316.63
1194,62316.63
1195,62316.63
1196,19310.62
1197,19310.62
1198,19310.62
1199,19310.62
1200,94511.79
1201,94511.79
1202,94511.79
1203,
1204,96275.84
1205,96275.84
1206,96275.84
1207,96275.84
1208,57219.92
1209,57219.92
1210,57219.92
1211,57219.92
1212,80591.2
1213,80591.2
1214,80591.2
1215,80591.2
1216,73434.92
1217,73434.92
1218,73434.92
1219,73434.92
1220,53916.84
1221,
1222,53916.84
1223,53916.84
1224,53071.47
1225,53071.47
1226,53071.47
1227,53071.47
1228,69692.16
1229,69692.16
1230,69692.16
1231,69692.16
1232,15735.68
1233,15735.68
1234,15735.68
1235,15735.68
1236,20502.64
1237,20502.64
1238,20502.64
1239,
1240,55662.64
1241,55662.64
1242,55662.64
1243,55662.64
1244,19758.84
1245,19758.84
1246,19758.84
1247,19758.84
1248,55000.62
1249,
1250,55000.62
1251,
1252,10352.745
1253,10352.745
1254,10352.745
1255,10352.745
1256,50811.27
1257,
1258,50811.27
1259,50811.27
1260,59448.04
1261,59448.04
1262,59448.04
1263,59448.04
1264,18549.28
1265,18549.28
1266,18549.28
1267,18549.28
1268,134810.13
1269,
1270,134810.13
1271,134810.13
1272,162550.32
1273,162550.32
1274,162550.32
1275,162550.32
1276,102596.64
1277,102596.64
1278,102596.64
1279,102596.64
1280,14884.465
1281,14884.465
1282,
1283,
1284,31732.61
1285,31732.61
1286,
1287,31732.61
1288,50847.22
1289,50847.22
1290,50847.22
1291,50847.22
1292,9349.475
1293,9349.475
1294,9349.475
1295,9349.475
1296,135115.44
1297,135115.44
1298,135115.44
1299,135115.44
1300,66169.56
1301,66169.56
1302,66169.56
1303,66169.56
1304,
1305,
1306,56760.51
1307,56760.51
1308,108223.62
1309,108223.62
1310,108223.62
1311,108223.62
1312,53098.47
1313,53098.47
1314,53098.47
1315,53098.47
1316,17853.5
1317,17853.5
1318,17853.5
1319,
1320,16813.54
1321,16813.54
1322,16813.54
1323,16813.54
1324,68665.76
1325,68665.76
1326,68665.76
1327,68665.76
1328,22500.52
1329,22500.52
1330,22500.52
1331,22500.52
1332,15305.46
1333,15305.46
1334,15305.46
1335,15305.46
1336,15544.47
1337,15544.47
1338,15544.47
1339,15544.47
1340,99089.52
1341,99089.52
1342,99089.52
1343,99089.52
1344,9307.24
1345,9307.24
1346,9307.24
1347,9307.24
1348,134316.2
1349,134316.2
1350,134316.2
1351,134316.2
1352,38685.98
1353,38685.98
1354,38685.98
1355,38685.98
1356,69933.98
1357,69933.98
1358,69933.98
1359,69933.98
1360,21075.36
1361,21075.36
1362,21075.36
1363,21075.36
1364,60843.33
1365,60843.33
1366,60843.33
1367,60843.33
1368,15091.03
1369,15091.03
1370,15091.03
1371,15091.03
1372,54987.52
1373,54987.52
1374,54987.52
1375,54987.52
1376,7506.125
1377,7506.125
1378,7506.125
1379,7506.125
1380,17448.08
1381,17448.08
1382,17448.08
1383,17448.08
1384,42241.19
1385,42241.19
1386,42241.19
1387,42241.19
1388,31087.66
1389,31087.66
1390,31087.66
1391,
1392,
1393,132414.16
1394,132414.16
1395,132414.16
1396,92794.04
1397,92794.04
1398,92794.04
1399,92794.04
1400,82998.24
1401,82998.24
1402,
1403,82998.24
1404,16582.83
1405,16582.83
1406,16582.83
1407,16582.83
1408,31896.42
1409,31896.42
1410,31896.42
1411,31896.42
1412,34927.0
1413,34927.0
1414,34927.0
1415,
1416,25020.07
1417,25020.07
1418,25020.07
1419,25020.07
1420,82778.56
1421,82778.56
1422,82778.56
1423,82778.56
1424,94052.22
1425,
1426,94052.22
1427,94052.22
1428,16355.71
1429,16355.71
1430,16355.71
1431,16355.71
1432,15119.56
1433,15119.56
1434,15119.56
1435,15119.56
1436,20639.79
1437,
1438,20639.79
1439,20639.79
1440,18472.71
1441,18472.71
1442,18472.71
1443,18472.71
1444,42731.27
1445,42731.27
1446,42731.27
1447,42731.27
1448,82700.32
1449,82700.32
1450,82700.32
1451,82700.32
1452,
1453,11968.51
1454,11968.51
1455,11968.51
1456,33386.25
1457,33386.25
1458,33386.25
1459,33386.25
1460,67614.24
1461,67614.24
1462,67614.24
1463,67614.24
1464,174304.04
1465,174304.04
1466,174304.04
1467,174304.04
1468,68742.75
1469,68742.75
1470,68742.75
1471,68742.75
1472,15932.725
1473,15932.725
1474,15932.725
1475,15932.725
1476,55583.67
1477,55583.67
1478,55583.67
1479,55583.67
1480,72252.36
1481,72252.36
1482,72252.36
1483,72252.36
1484,30399.06
1485,30399.06
1486,30399.06
1487,30399.06
1488,8365.075
1489,8365.075
1490,8365.075
1491,8365.075
1492,133410.66
1493,133410.66
1494,133410.66
1495,133410.66
1496,19167.04
1497,19167.04
1498,19167.04
1499,19167.04
1500,28169.07
1501,28169.07
1502,28169.07
1503,28169.07
1504,12613.56
1505,12613.56
1506,12613.56
1507,12613.56
1508,29625.82
1509,29625.82
1510,
1511,29625.82
1512,62223.06
1513,62223.06
1514,62223.06
1515,62223.06
1516,14976.45
1517,14976.45
1518,14976.45
1519,14976.45
1520,82454.0
1521,
1522,82454.0
1523,
1524,62874.96
1525,62874.96
1526,62874.96
1527,62874.96
1528,17164.72
1529,17164.72
1530,17164.72
1531,17164.72
1532,37302.1
1533,37302.1
1534,37302.1
1535,37302.1
1536,7526.205
1537,7526.205
1538,7526.205
1539,7526.205
1540,
1541,19653.005
1542,19653.005
1543,19653.005
1544,174179.64
1545,174179.64
1546,174179.64
1547,174179.64
1548,41543.64
1549,41543.64
1550,41543.64
1551,
1552,9582.775
1553,9582.775
1554,9582.775
1555,9582.775
1556,21720.955
1557,
1558,21720.955
1559,21720.955
1560,
1561,38107.36
1562,38107.36
1563,38107.36
1564,85423.16
1565,85423.16
1566,85423.16
1567,85423.16
1568,20308.26
1569,20308.26
1570,20308.26
1571,
1572,60889.08
1573,60889.08
1574,60889.08
1575,60889.08
1576,13603.41
1577,13603.41
1578,13603.41
1579,13603.41
1580,12943.475
1581,12943.475
1582,12943.475
1583,12943.475
1584,44483.64
1585,44483.64
1586,44483.64
1587,
1588,7795.54
1589,7795.54
1590,7795.54
1591,7795.54
1592,177243.92
1593,177243.92
1594,177243.92
1595,177243.92
1596,35518.98
1597,35518.98
1598,35518.98
1599,35518.98
1600,8875.135
1601,
1602,8875.135
1603,8875.135
1604,16708.07
1605,16708.07
1606,16708.07
1607,16708.07
1608,81395.44
1609,81395.44
1610,81395.44
1611,81395.44
1612,48780.56
1613,48780.56
1614,48780.56
1615,
1616,141753.72
1617,141753.72
1618,141753.72
1619,141753.72
1620,48608.78
1621,48608.78
1622,
1623,48608.78
1624,63206.72
1625,63206.72
1626,63206.72
1627,63206.72
1628,63635.12
1629,
1630,63635.12
1631,63635.12
1632,126849.18
1633,126849.18
1634,126849.18
1635,126849.18
1636,8779.145
1637,8779.145
1638,8779.145
1639,8779.145
1640,16154.8
1641,16154.8
1642,16154.8
1643,16154.8
1644,
1645,11631.405
1646,11631.405
1647,11631.405
1648,24726.48
1649,24726.48
1650,
1651,24726.48
1652,44188.5
1653,44188.5
1654,44188.5
1655,44188.5
1656,13065.87
1657,13065.87
1658,13065.87
1659,13065.87
1660,49447.74
1661,49447.74
1662,49447.74
1663,49447.74
1664,42941.85
1665,42941.85
1666,42941.85
1667,42941.85
1668,37824.65
1669,37824.65
1670,37824.65
1671,37824.65
1672,66732.58
1673,66732.58
1674,66732.58
1675,66732.58
1676,
1677,61463.94
1678,61463.94
1679,61463.94
1680,115800.54
1681,115800.54
1682,115800.54
1683,115800.54
1684,88133.16
1685,88133.16
1686,88133.16
1687,
1688,27632.92
1689,27632.92
1690,27632.92
1691,27632.92
1692,21846.06
1693,21846.06
1694,21846.06
1695,21846.06
1696,8610.765
1697,8610.765
1698,8610.765
1699,8610.765
1700,49023.22
1701,49023.22
1702,49023.22
1703,49023.22
1704,104564.64
1705,104564.64
1706,104564.64
1707,104564.64
1708,
1709,59751.78
1710,59751.78
1711,59751.78
1712,
1713,
1714,20978.49
1715,20978.49
1716,118644.36
1717,118644.36
1718,118644.36
1719,118644.36
1720,30029.59
1721,30029.59
1722,30029.59
1723,30029.59
1724,81557.0
1725,81557.0
1726,81557.0
1727,81557.0
1728,63331.9
1729,63331.9
1730,63331.9
1731,63331.9
1732,24069.55
1733,24069.55
1734,24069.55
1735,24069.55
1736,15762.72
1737,15762.72
1738,15762.72
1739,15762.72
1740,122713.6
1741,122713.6
1742,122713.6
1743,122713.6
1744,41499.21
1745,41499.21
1746,41499.21
1747,41499.21
1748,82840.24
1749,82840.24
1750,82840.24
1751,82840.24
1752,24195.37
1753,24195.37
1754,
1755,24195.37
1756,78139.42
1757,78139.42
1758,78139.42
1759,78139.42
1760,
1761,7106.15
1762,7106.15
1763,7106.15
1764,
1765,20193.59
1766,20193.59
1767,20193.59
1768,62545.59
1769,62545.59
1770,
1771,62545.59
1772,32011.89
1773,32011.89
1774,32011.89
1775,32011.89
1776,
1777,
1778,42399.03
1779,42399.03
1780,23679.61
1781,23679.61
1782,23679.61
1783,23679.61
1784,62139.51
1785,62139.51
1786,62139.51
1787,62139.51
1788,62846.31
1789,62846.31
1790,62846.31
1791,62846.31
1792,59438.91
1793,59438.91
1794,59438.91
1795,59438.91
1796,69870.88
1797,
1798,69870.88
1799,69870.88
1800,76257.52
1801,76257.52
1802,76257.52
1803,76257.52
1804,74450.88
1805,74450.88
1806,74450.88
1807,74450.88
1808,146866.76
1809,146866.76
1810,146866.76
1811,146866.76
1812,20914.44
1813,20914.44
1814,20914.44
1815,20914.44
1816,18936.55
1817,18936.55
1818,18936.55
1819,
1820,61476.93
1821,61476.93
1822,61476.93
1823,61476.93
1824,16198.305
1825,16198.305
1826,16198.305
1827,16198.305
1828,20938.03
1829,20938.03
1830,20938.03
1831,20938.03
1832,21364.2
1833,21364.2
1834,21364.2
1835,21364.2
1836,96826.96
1837,96826.96
1838,96826.96
1839,96826.96
1840,
1841,16808.35
1842,16808.35
1843,16808.35
1844,59930.04
1845,59930.04
1846,59930.04
1847,59930.04
1848,128279.16
1849,128279.16
1850,128279.16
1851,128279.16
1852,53908.41
1853,53908.41
1854,53908.41
1855,53908.41
1856,16718.08
1857,16718.08
1858,16718.08
1859,16718.08
1860,83355.33
1861,83355.33
1862,83355.33
1863,83355.33
1864,11646.19
1865,11646.19
1866,11646.19
1867,11646.19
1868,69577.92
1869,69577.92
1870,69577.92
1871,69577.92
1872,25621.01
1873,25621.01
1874,25621.01
1875,25621.01
1876,55324.29
1877,55324.29
1878,55324.29
1879,55324.29
1880,42947.49
1881,42947.49
1882,42947.49
1883,42947.49
1884,49023.6
1885,49023.6
1886,49023.6
1887,49023.6
1888,60263.43
1889,60263.43
1890,60263.43
1891,60263.43
1892,44036.97
1893,44036.97
1894,44036.97
1895,44036.97
1896,12681.45
1897,12681.45
1898,12681.45
1899,12681.45
1900,16568.425
1901,16568.425
1902,16568.425
1903,16568.425
1904,14952.03
1905,14952.03
1906,14952.03
1907,14952.03
1908,
1909,101500.92
1910,101500.92
1911,101500.92
1912,155726.76
1913,155726.76
1914,
1915,155726.76
1916,36591.25
1917,
1918,36591.25
1919,
1920,47280.76
1921,47280.76
1922,47280.76
1923,47280.76
1924,108161.7
1925,108161.7
1926,108161.7
1927,108161.7
1928,19910.51
1929,19910.51
1930,19910.51
1931,19910.51
